Seq2;ee=0.0059;size=141950;	GFP31_A
Seq4;ee=0.013;size=81855;	Unsorted_L46
Seq7;ee=0.013;size=53740;	Native_L1
Seq8;ee=0.0059;size=53005;	Unsorted_A27
Seq5;ee=0.0059;size=63542;	GFP48_A
Seq9;ee=0.013;size=51445;	Unsorted_L36
Seq10;ee=0.015;size=46303;	Unsorted_L27
Seq12;ee=0.095;size=43097;	Unsorted_L39
Seq14;ee=0.0059;size=31317;	PD1-Avidin21_A
Seq15;ee=0.013;size=30222;	Unsorted_L71
Seq13;ee=0.0059;size=34326;	GFP5_A
Seq17;ee=0.0059;size=24410;	GFP2_A
Seq19;ee=0.0059;size=23435;	Unsorted_A53
Seq18;ee=0.013;size=23975;	Unsorted_L9
Seq3;ee=0.0059;size=85214;	GFP22_A
Seq22;ee=0.013;size=17684;	Unsorted_L58
Seq20;ee=0.0059;size=22872;	PE7_A
Seq21;ee=0.0059;size=20358;	GFP17_A
Seq6;ee=0.0059;size=58141;	CTLA-Avidin19_A
Seq28;ee=0.0059;size=13037;	PD1-Avidin44_A
Seq26;ee=0.0059;size=13412;	PE30_A
Seq29;ee=0.0059;size=11842;	GFP9_A
Seq27;ee=0.0059;size=13051;	Unsorted_A23
Seq30;ee=0.013;size=11693;	Unsorted_L37
Seq33;ee=0.0059;size=11142;	Unsorted_A61
Seq32;ee=0.0062;size=11179;	VEGF15_N
Seq31;ee=0.0059;size=11444;	Unsorted_A4
Seq34;ee=0.0059;size=10912;	Luciferase17_A
Seq36;ee=0.0059;size=10220;	PE50_A
Seq16;ee=0.0059;size=28456;	GFP8_A
Seq38;ee=0.014;size=10021;	Unsorted_L10
Seq35;ee=0.0059;size=10583;	PD1-Avidin43_A
Seq40;ee=0.014;size=9246;	GFP3_A
Seq37;ee=0.0059;size=10065;	Unsorted_A6
Seq11;ee=0.0059;size=44637;	Unsorted_A37
Seq45;ee=0.0059;size=8286;	Unsorted_A44
Seq41;ee=0.0059;size=8506;	GFP37_A
Seq43;ee=0.013;size=8299;	Unsorted_L15
Seq44;ee=0.013;size=8291;	Unsorted_L11
Seq42;ee=0.013;size=8402;	Unsorted_L22
Seq46;ee=0.0059;size=7663;	CTLA-Avidin1_A
Seq47;ee=0.56;size=7631;	Unsorted_L19
Seq50;ee=0.0059;size=7186;	Unsorted_A69
Seq49;ee=0.013;size=7245;	Unsorted_L1
Seq51;ee=0.018;size=7108;	Unsorted_F31
Seq52;ee=0.017;size=6949;	Unsorted_B31
Seq48;ee=0.0062;size=7278;	VEGF39_N
Seq55;ee=0.0059;size=6171;	Unsorted_A62
Seq53;ee=0.0059;size=6826;	Unsorted_A2
Seq54;ee=0.013;size=6262;	Unsorted_L14
Seq56;ee=0.0059;size=5981;	GFP14_A
Seq57;ee=0.017;size=5814;	Unsorted_L5
Seq58;ee=0.0059;size=5776;	CTLA-Avidin12_A
Seq59;ee=0.013;size=5673;	Unsorted_L17
Seq60;ee=0.013;size=5469;	Unsorted_L18
Seq62;ee=0.0059;size=5226;	Unsorted_A63
Seq63;ee=0.0059;size=4991;	Unsorted_A47
Seq64;ee=0.0059;size=4909;	PD1-Avidin23_A
Seq65;ee=0.0059;size=4855;	GFP43_A
Seq66;ee=0.0059;size=4795;	GFP23_A
Seq25;ee=0.0059;size=14968;	Luciferase9_A
Seq24;ee=0.0059;size=16614;	Unsorted_A39
Seq68;ee=0.0062;size=4495;	Unsorted_N43
Seq69;ee=0.0059;size=4421;	GFP20_A
Seq67;ee=0.0062;size=4594;	PE9_N
Seq23;ee=0.0059;size=17508;	Unsorted_A50
Seq77;ee=0.0059;size=3421;	CTLA-Avidin35_A
Seq71;ee=0.0059;size=4125;	CTLA-Avidin7_A
Seq78;ee=0.057;size=3355;	Unsorted_E49
Seq72;ee=0.0059;size=3743;	Unsorted_A70
Seq76;ee=0.014;size=3465;	Unsorted_L51
Seq80;ee=0.013;size=3286;	Unsorted_L56
Seq83;ee=0.0059;size=3198;	Unsorted_A12
Seq85;ee=0.0059;size=3022;	GFP15_A
Seq87;ee=0.0059;size=2906;	GFP45_A
Seq84;ee=0.013;size=3055;	Unsorted_L2
Seq88;ee=0.0059;size=2904;	PD1-Avidin1_A
Seq89;ee=0.0059;size=2880;	Unsorted_A40
Seq86;ee=0.0059;size=2909;	GFP11_A
Seq90;ee=0.0062;size=2865;	Unsorted_N40
Seq96;ee=0.022;size=2646;	Unsorted_C14
Seq94;ee=0.045;size=2707;	Unsorted_L42
Seq98;ee=0.013;size=2612;	Unsorted_L57
Seq97;ee=0.0062;size=2644;	Luciferase5_N
Seq93;ee=0.013;size=2725;	Unsorted_L63
Seq99;ee=0.013;size=2588;	Unsorted_L13
Seq100;ee=0.0059;size=2579;	Unsorted_A71
Seq92;ee=0.0059;size=2765;	PD1-Avidin20_A
Seq103;ee=0.0062;size=2531;	VEGF21_N
Seq102;ee=0.0059;size=2547;	Unsorted_A51
Seq107;ee=0.0059;size=2352;	Unsorted_A42
Seq104;ee=0.014;size=2433;	PE40_O
Seq109;ee=0.0062;size=2345;	Unsorted_N73
Seq105;ee=0.0059;size=2418;	Unsorted_A16
Seq106;ee=0.0059;size=2382;	PD1-Avidin46_A
Seq108;ee=0.0062;size=2352;	Unsorted_N1
Seq113;ee=0.0059;size=2290;	Unsorted_A36
Seq112;ee=0.017;size=2310;	Unsorted_I70
Seq110;ee=0.015;size=2334;	Unsorted_E52
Seq111;ee=0.015;size=2312;	Unsorted_Q66
Seq115;ee=0.015;size=2250;	Unsorted_L68
Seq117;ee=0.0059;size=2234;	Unsorted_A32
Seq119;ee=0.015;size=2155;	Unsorted_E48
Seq114;ee=0.0059;size=2267;	Unsorted_A1
Seq120;ee=0.015;size=2154;	VEGF8_E
Seq118;ee=0.0062;size=2190;	Luciferase43_N
Seq122;ee=0.013;size=2081;	Unsorted_L16
Seq123;ee=0.0059;size=2074;	GFP21_A
Seq124;ee=0.0059;size=2072;	Unsorted_A72
Seq125;ee=0.015;size=2036;	Unsorted_Q27
Seq126;ee=0.0059;size=2035;	PD1-Avidin18_A
Seq129;ee=0.013;size=1972;	Unsorted_L34
Seq133;ee=0.013;size=1825;	Unsorted_L12
Seq131;ee=0.0059;size=1887;	GFP47_A
Seq134;ee=0.011;size=1822;	Unsorted_H45
Seq135;ee=0.014;size=1774;	Unsorted_L48
Seq132;ee=0.0059;size=1885;	Unsorted_A9
Seq141;ee=0.024;size=1668;	Unsorted_C73
Seq137;ee=0.013;size=1760;	Unsorted_L20
Seq139;ee=0.017;size=1732;	Unsorted_I12
Seq144;ee=0.017;size=1612;	Unsorted_J49
Seq147;ee=0.0059;size=1538;	CTLA-Avidin38_A
Seq143;ee=0.0062;size=1624;	Unsorted_N59
Seq145;ee=0.0062;size=1601;	Unsorted_N27
Seq149;ee=0.81;size=1496;	CTLA-Tris-Carb16_O
Seq152;ee=0.017;size=1460;	Unsorted_F70
Seq148;ee=0.0059;size=1509;	PE3_A
Seq150;ee=0.015;size=1488;	Unsorted_E50
Seq156;ee=0.0059;size=1438;	GFP34_A
Seq157;ee=0.015;size=1422;	Unsorted_E56
Seq158;ee=0.0059;size=1420;	PD1-Avidin12_A
Seq154;ee=0.0059;size=1445;	GFP28_A
Seq162;ee=0.0059;size=1384;	GFP25_A
Seq160;ee=0.0059;size=1409;	Luciferase50_A
Seq164;ee=0.019;size=1372;	Unsorted_F18
Seq161;ee=0.0059;size=1399;	PE25_A
Seq165;ee=0.0059;size=1369;	Unsorted_A45
Seq166;ee=0.015;size=1355;	Unsorted_Q6
Seq167;ee=0.0059;size=1335;	Unsorted_A75
Seq168;ee=0.014;size=1333;	Unsorted_L4
Seq170;ee=0.0059;size=1313;	PE38_A
Seq173;ee=0.0062;size=1296;	Unsorted_N29
Seq172;ee=0.017;size=1301;	Unsorted_J67
Seq163;ee=0.022;size=1379;	Unsorted_C26
Seq171;ee=0.013;size=1310;	Unsorted_L75
Seq181;ee=0.0062;size=1212;	Unsorted_N18
Seq178;ee=0.039;size=1264;	Unsorted_L24
Seq174;ee=0.017;size=1296;	Unsorted_F21
Seq184;ee=0.015;size=1181;	Unsorted_E5
Seq185;ee=0.0059;size=1171;	CTLA-Tris-Carb50_A
Seq186;ee=0.0059;size=1166;	Unsorted_A52
Seq183;ee=0.017;size=1193;	Unsorted_F7
Seq192;ee=0.0059;size=1100;	Unsorted_A68
Seq187;ee=0.013;size=1166;	Unsorted_L38
Seq189;ee=0.012;size=1142;	Unsorted_P9
Seq190;ee=0.0059;size=1140;	Unsorted_A5
Seq193;ee=0.022;size=1092;	Unsorted_C13
Seq199;ee=0.016;size=1064;	Unsorted_B60
Seq197;ee=0.0059;size=1072;	PD1-Avidin29_A
Seq200;ee=0.017;size=1051;	Unsorted_Q34
Seq203;ee=0.0062;size=1037;	PD1-Avidin7_N
Seq202;ee=0.014;size=1038;	Unsorted_D12
Seq205;ee=0.018;size=1029;	Unsorted_L61
Seq207;ee=0.015;size=1013;	Unsorted_E71
Seq204;ee=0.0098;size=1031;	Unsorted_A30
Seq208;ee=0.24;size=1001;	Unsorted_C37
Seq211;ee=0.015;size=985;	Unsorted_Q52
Seq206;ee=0.0059;size=1016;	Unsorted_A29
Seq212;ee=0.013;size=977;	Unsorted_L28
Seq215;ee=0.015;size=964;	Unsorted_E4
Seq214;ee=0.0059;size=976;	PD1-Avidin39_A
Seq216;ee=0.0059;size=955;	Unsorted_A67
Seq219;ee=0.0059;size=906;	Unsorted_A64
Seq223;ee=0.011;size=876;	Unsorted_H20
Seq226;ee=0.017;size=871;	Unsorted_J35
Seq225;ee=0.015;size=871;	Unsorted_E11
Seq221;ee=0.0059;size=890;	PD1-Avidin28_A
Seq228;ee=0.017;size=859;	Unsorted_I6
