Seq2;ee=0.013;size=121158;	Unsorted_L11
Seq5;ee=0.013;size=34368;	Unsorted_L2
Seq6;ee=0.0059;size=34158;	Unsorted_A6
Seq7;ee=0.013;size=30701;	Unsorted_L13
Seq8;ee=0.014;size=28179;	Unsorted_L17
Seq9;ee=0.013;size=24717;	Unsorted_L37
Seq10;ee=0.016;size=24640;	Unsorted_B31
Seq11;ee=0.0059;size=23580;	Unsorted_A36
Seq12;ee=0.0059;size=14301;	PE7_A
Seq13;ee=0.013;size=14048;	Unsorted_L12
Seq14;ee=0.015;size=12239;	Unsorted_E34
Seq15;ee=0.013;size=12019;	Unsorted_L36
Seq16;ee=0.0059;size=11646;	Unsorted_A50
Seq18;ee=0.013;size=11333;	Unsorted_L42
Seq3;ee=0.0059;size=94471;	Unsorted_A27
Seq4;ee=0.013;size=65295;	Unsorted_L51
Seq21;ee=0.0059;size=8905;	GFP15_A
Seq22;ee=0.013;size=7646;	Unsorted_L27
Seq24;ee=0.014;size=7336;	Unsorted_L71
Seq23;ee=0.017;size=7367;	Unsorted_L56
Seq17;ee=0.013;size=11413;	Unsorted_L61
Seq29;ee=0.014;size=4958;	Unsorted_L49
Seq30;ee=0.0062;size=4678;	Unsorted_N73
Seq34;ee=0.014;size=3971;	Unsorted_L28
Seq35;ee=0.0059;size=3873;	Unsorted_A35
Seq32;ee=0.012;size=4201;	Unsorted_P65
Seq37;ee=0.015;size=3774;	Unsorted_L26
Seq33;ee=0.013;size=3995;	Unsorted_L75
Seq20;ee=0.046;size=8906;	Unsorted_N1
Seq39;ee=0.0062;size=3335;	Unsorted_N29
Seq40;ee=0.013;size=3170;	Unsorted_L20
Seq19;ee=0.33;size=11099;	Unsorted_L46
Seq43;ee=0.011;size=2641;	Unsorted_H29
Seq42;ee=0.014;size=2861;	Unsorted_L9
Seq36;ee=0.013;size=3777;	Unsorted_L50
Seq38;ee=0.012;size=3563;	Luciferase43_N
Seq45;ee=0.0059;size=2507;	GFP8_A
Seq46;ee=0.33;size=2447;	Unsorted_D12
Seq47;ee=0.014;size=2360;	Unsorted_L19
Seq48;ee=0.013;size=2334;	Unsorted_L16
Seq49;ee=0.0062;size=2190;	Unsorted_N54
Seq50;ee=0.015;size=2167;	Unsorted_L58
Seq28;ee=0.014;size=5088;	Native_L1
Seq27;ee=0.016;size=5486;	Unsorted_L39
Seq25;ee=0.0059;size=6385;	Unsorted_A64
Seq26;ee=0.039;size=6276;	Unsorted_L63
Seq57;ee=0.0059;size=1915;	Unsorted_A12
Seq58;ee=0.017;size=1908;	Unsorted_B45
Seq52;ee=0.011;size=2076;	VEGF39_N
Seq55;ee=0.0059;size=2042;	GFP22_A
Seq51;ee=0.0059;size=2148;	CTLA-Avidin19_A
Seq54;ee=0.014;size=2043;	Unsorted_D17
Seq53;ee=0.017;size=2045;	Unsorted_F70
Seq60;ee=0.054;size=1791;	Unsorted_L34
Seq61;ee=0.0059;size=1756;	Unsorted_A9
Seq63;ee=0.013;size=1668;	Unsorted_L4
Seq64;ee=0.0062;size=1605;	Unsorted_N17
Seq62;ee=0.013;size=1705;	Unsorted_L24
Seq65;ee=0.017;size=1539;	Unsorted_B60
Seq66;ee=0.0059;size=1503;	PE30_A
Seq67;ee=0.0059;size=1451;	GFP26_A
Seq69;ee=0.012;size=1434;	Unsorted_P14
Seq70;ee=0.0062;size=1416;	VEGF15_N
Seq72;ee=0.041;size=1361;	Unsorted_E31
Seq73;ee=0.0062;size=1346;	VEGF21_N
Seq75;ee=0.017;size=1328;	Unsorted_F5
Seq77;ee=0.014;size=1264;	Native_D1
Seq76;ee=0.014;size=1294;	Unsorted_D5
Seq78;ee=0.0059;size=1256;	Unsorted_A45
Seq81;ee=0.015;size=1191;	Unsorted_E36
Seq80;ee=0.017;size=1233;	Unsorted_F20
Seq83;ee=0.0059;size=1152;	Unsorted_A34
Seq84;ee=0.02;size=1103;	Unsorted_G15
Seq85;ee=0.0059;size=1088;	Unsorted_A4
Seq82;ee=0.015;size=1188;	Unsorted_Q52
Seq86;ee=0.013;size=1054;	Unsorted_L15
Seq87;ee=0.014;size=1048;	Unsorted_O6
Seq88;ee=0.014;size=1026;	PE48_O
Seq89;ee=0.019;size=1020;	Unsorted_F17
Seq91;ee=0.017;size=1017;	Unsorted_F2
Seq92;ee=0.0062;size=1006;	Unsorted_N43
Seq93;ee=0.0062;size=1001;	Unsorted_N42
Seq95;ee=0.0059;size=960;	GFP3_A
Seq97;ee=0.013;size=937;	Unsorted_L10
Seq96;ee=0.04;size=940;	Unsorted_D7
Seq98;ee=0.014;size=890;	PE26_O
Seq100;ee=0.015;size=862;	Unsorted_L48
Seq101;ee=0.014;size=839;	Unsorted_L38
Seq102;ee=0.015;size=835;	Unsorted_Q5
Seq99;ee=0.0094;size=863;	GFP31_A
Seq103;ee=0.0059;size=831;	CTLA-Avidin1_A
Seq104;ee=0.012;size=818;	Unsorted_H4
Seq107;ee=0.014;size=808;	Unsorted_L18
Seq106;ee=0.017;size=809;	Unsorted_I8
Seq109;ee=0.0096;size=774;	GFP11_A
Seq110;ee=0.0062;size=770;	Unsorted_N40
Seq112;ee=0.092;size=760;	Unsorted_D2
Seq113;ee=0.014;size=758;	Unsorted_L22
Seq115;ee=0.011;size=756;	Unsorted_H2
Seq116;ee=0.013;size=729;	Unsorted_L52
Seq114;ee=0.017;size=757;	Unsorted_F25
Seq117;ee=0.011;size=719;	Unsorted_H20
Seq118;ee=0.015;size=713;	CTLA-Tris-Carb16_O
Seq119;ee=0.017;size=709;	Unsorted_I22
Seq121;ee=0.007;size=701;	Unsorted_N31
Seq122;ee=0.02;size=696;	Unsorted_F56
Seq120;ee=0.0062;size=708;	PE9_N
Seq124;ee=0.014;size=694;	Unsorted_L74
Seq125;ee=0.013;size=693;	Unsorted_L32
Seq123;ee=0.013;size=694;	Unsorted_L64
Seq126;ee=0.0062;size=677;	VEGF24_N
Seq128;ee=0.0059;size=675;	Unsorted_A75
Seq71;ee=0.072;size=1394;	Unsorted_L60
Seq129;ee=0.012;size=668;	Unsorted_P9
Seq130;ee=0.018;size=664;	Unsorted_F18
Seq132;ee=0.0059;size=647;	Unsorted_A37
Seq134;ee=0.42;size=641;	Unsorted_N8
Seq133;ee=0.0062;size=646;	Unsorted_N59
Seq136;ee=0.019;size=637;	Unsorted_I70
Seq138;ee=0.0059;size=626;	PE36_A
Seq139;ee=0.014;size=626;	Unsorted_D60
Seq143;ee=0.016;size=606;	Unsorted_L1
Seq140;ee=0.013;size=624;	Unsorted_L67
Seq144;ee=0.017;size=602;	Unsorted_F62
Seq145;ee=0.016;size=598;	Unsorted_D69
Seq146;ee=0.017;size=595;	Unsorted_F35
Seq148;ee=0.022;size=585;	Unsorted_I31
Seq149;ee=0.015;size=583;	Unsorted_Q27
Seq153;ee=0.011;size=574;	Unsorted_H60
Seq150;ee=0.0059;size=580;	GFP20_A
Seq151;ee=0.012;size=576;	Unsorted_P5
Seq154;ee=0.0062;size=569;	Unsorted_N63
Seq152;ee=0.056;size=576;	Unsorted_F19
Seq155;ee=0.015;size=555;	Unsorted_Q29
Seq156;ee=0.02;size=531;	Unsorted_Q51
Seq159;ee=0.011;size=521;	Unsorted_H45
Seq160;ee=0.011;size=521;	Unsorted_H62
Seq158;ee=0.0059;size=521;	PE50_A
Seq162;ee=0.014;size=505;	Unsorted_D42
Seq161;ee=0.013;size=511;	Unsorted_L23
Seq163;ee=0.0059;size=503;	PD1-Avidin21_A
Seq164;ee=0.015;size=498;	Unsorted_L65
Seq170;ee=0.013;size=492;	Unsorted_L8
Seq167;ee=0.013;size=495;	Unsorted_L5
Seq165;ee=0.0059;size=498;	GFP43_A
Seq169;ee=0.012;size=493;	Unsorted_P68
Seq175;ee=0.0062;size=478;	Unsorted_N18
Seq174;ee=0.015;size=481;	PE47_O
Seq176;ee=0.017;size=477;	Unsorted_I50
Seq178;ee=0.014;size=472;	Unsorted_D10
Seq180;ee=0.31;size=469;	Unsorted_F71
Seq183;ee=0.022;size=465;	Unsorted_I49
Seq187;ee=0.0062;size=451;	VEGF42_N
Seq184;ee=0.0062;size=461;	Unsorted_N41
Seq185;ee=0.017;size=458;	Unsorted_I47
Seq189;ee=0.0062;size=449;	CTLA-Avidin33_N
Seq188;ee=0.0062;size=450;	VEGF17_N
Seq190;ee=0.0066;size=447;	CTLA-Avidin9_N
Seq192;ee=0.014;size=445;	Unsorted_L3
Seq194;ee=0.014;size=442;	Unsorted_L29
Seq193;ee=0.0059;size=444;	GFP5_A
Seq197;ee=0.0062;size=439;	Luciferase5_N
Seq195;ee=0.042;size=439;	Unsorted_I60
Seq196;ee=0.0059;size=439;	Unsorted_A20
Seq198;ee=0.0059;size=438;	GFP25_A
Seq199;ee=0.0059;size=438;	CTLA-Avidin35_A
Seq202;ee=0.013;size=431;	Unsorted_L53
Seq207;ee=0.015;size=400;	Unsorted_L14
Seq205;ee=0.019;size=420;	Unsorted_I10
Seq203;ee=0.0064;size=425;	Unsorted_N3
Seq209;ee=0.014;size=398;	PE34_O
Seq210;ee=0.056;size=396;	Native_Q1
Seq208;ee=0.022;size=398;	Unsorted_G68
Seq212;ee=0.017;size=395;	Native_B1
Seq216;ee=0.0059;size=390;	CTLA-Avidin7_A
