Seq3;ee=0.0059;size=38608;	Unsorted_A47
Seq2;ee=0.0059;size=110321;	PE50_A
Seq4;ee=0.0059;size=26679;	Unsorted_A32
Seq13;ee=0.0059;size=8151;	Unsorted_A36
Seq12;ee=0.014;size=8184;	Unsorted_L17
Seq14;ee=0.0059;size=8089;	Unsorted_A68
Seq16;ee=0.014;size=5890;	Unsorted_L51
Seq15;ee=0.018;size=6759;	Unsorted_J67
Seq17;ee=0.0059;size=5079;	CTLA-Tris-Carb50_A
Seq11;ee=0.0059;size=8684;	PE38_A
Seq18;ee=0.0059;size=4725;	GFP43_A
Seq19;ee=0.014;size=4049;	Unsorted_L61
Seq10;ee=0.014;size=8785;	Unsorted_L13
Seq20;ee=0.017;size=3558;	Unsorted_J12
Seq21;ee=0.0059;size=3195;	Unsorted_A58
Seq23;ee=0.0059;size=2615;	Unsorted_A35
Seq22;ee=0.0059;size=3100;	Unsorted_A6
Seq24;ee=0.0059;size=2572;	Unsorted_A9
Seq25;ee=0.41;size=2315;	PE36_A
Seq26;ee=0.017;size=2192;	Unsorted_J64
Seq28;ee=0.0059;size=1986;	GFP3_A
Seq30;ee=0.0059;size=1905;	Unsorted_A45
Seq27;ee=0.018;size=2126;	Unsorted_J8
Seq29;ee=0.0059;size=1910;	Unsorted_A7
Seq31;ee=0.017;size=1881;	Unsorted_J1
Seq34;ee=0.0059;size=1642;	Unsorted_A64
Seq37;ee=0.0059;size=1554;	PD1-Avidin20_A
Seq35;ee=0.0059;size=1584;	GFP36_A
Seq38;ee=0.0059;size=1485;	GFP16_A
Seq33;ee=0.017;size=1711;	Unsorted_J43
Seq39;ee=0.0059;size=1388;	Unsorted_A38
Seq40;ee=0.81;size=1386;	Unsorted_J45
Seq43;ee=0.014;size=1318;	Unsorted_L12
Seq41;ee=0.017;size=1349;	Unsorted_P48
Seq45;ee=0.014;size=1231;	Unsorted_O22
Seq48;ee=0.012;size=1138;	Unsorted_P35
Seq50;ee=0.0059;size=1084;	Unsorted_A34
Seq47;ee=0.012;size=1186;	Unsorted_P39
Seq51;ee=0.0059;size=1015;	Unsorted_A52
