Seq851;ee=0.017;size=101;	Unsorted_J49
Seq857;ee=0.0059;size=101;	Unsorted_A36
Seq933;ee=0.007;size=95;	CTLA-Avidin3_N
Seq963;ee=0.039;size=93;	PE48_O
Seq978;ee=0.0059;size=92;	GFP37_A
Seq983;ee=0.0059;size=92;	GFP33_A
Seq985;ee=0.015;size=92;	Unsorted_E48
Seq993;ee=0.0062;size=91;	VEGF1_N
Seq1021;ee=0.017;size=90;	Unsorted_F31
Seq13;ee=0.0063;size=1947;	PD1-Avidin21_A
Seq1055;ee=0.0094;size=87;	GFP1_A
Seq1066;ee=0.011;size=87;	PD1-Avidin46_A
Seq1077;ee=0.0059;size=85;	GFP15_A
Seq1099;ee=0.0062;size=84;	Unsorted_N59
Seq1111;ee=0.0059;size=84;	Unsorted_A14
Seq1151;ee=0.012;size=81;	Unsorted_P30
Seq1183;ee=0.0059;size=79;	Unsorted_A43
Seq1191;ee=0.011;size=79;	PD1-Avidin50_N
Seq1198;ee=0.0059;size=78;	CTLA-Avidin46_A
Seq1212;ee=0.0059;size=78;	PD1-Avidin23_A
Seq1208;ee=0.65;size=78;	Unsorted_P9
Seq1216;ee=0.0059;size=78;	PE25_A
Seq1222;ee=0.0059;size=77;	GFP16_A
Seq1226;ee=0.0059;size=77;	Unsorted_A57
Seq1258;ee=0.01;size=75;	Luciferase7_A
Seq1246;ee=0.017;size=75;	Unsorted_F19
Seq1254;ee=0.017;size=75;	Unsorted_F44
Seq1261;ee=0.0059;size=75;	Unsorted_A2
Seq1292;ee=0.013;size=73;	Unsorted_L49
Seq1300;ee=0.013;size=73;	Unsorted_L14
Seq1304;ee=0.0062;size=73;	VEGF24_N
Seq1309;ee=0.0059;size=73;	CTLA-Tris-Carb50_A
Seq1363;ee=0.013;size=70;	Unsorted_L5
Seq1381;ee=0.0059;size=70;	Unsorted_A72
Seq1389;ee=0.012;size=69;	Unsorted_P21
Seq1402;ee=0.017;size=69;	Unsorted_J23
Seq1410;ee=0.015;size=69;	Unsorted_L16
Seq1413;ee=0.01;size=68;	Unsorted_N24
Seq1421;ee=0.014;size=68;	Unsorted_D46
Seq1459;ee=0.017;size=67;	Unsorted_J22
Seq1461;ee=0.017;size=66;	Native_F1
Seq1523;ee=0.014;size=64;	Unsorted_L48
Seq1547;ee=0.0059;size=63;	GFP28_A
Seq1551;ee=0.0059;size=63;	GFP40_A
Seq1598;ee=0.0059;size=61;	Unsorted_A47
Seq1601;ee=0.0062;size=61;	Unsorted_N18
Seq1618;ee=0.0095;size=60;	Unsorted_A44
Seq1629;ee=0.013;size=60;	Unsorted_L74
Seq1634;ee=0.0059;size=60;	PD1-Avidin8_A
Seq1649;ee=0.011;size=59;	Native_P1
Seq1667;ee=0.017;size=58;	VEGF8_E
Seq1671;ee=0.023;size=58;	PD1-Avidin11_E
Seq1666;ee=0.0099;size=59;	CTLA-Avidin43_A
Seq1691;ee=0.017;size=58;	Unsorted_J12
Seq1723;ee=0.0059;size=57;	CTLA-Avidin25_A
Seq1734;ee=0.022;size=56;	Unsorted_E66
Seq1743;ee=0.015;size=56;	Unsorted_E35
Seq1741;ee=0.013;size=56;	Unsorted_L41
