Seq1;ee=0.0059;size=229567;	Unsorted_A75
Seq2;ee=0.0059;size=226828;	GFP11_A
Seq3;ee=0.0059;size=181636;	GFP31_A
Seq7;ee=0.0059;size=88886;	GFP14_A
Seq8;ee=0.0059;size=84810;	Unsorted_A37
Seq9;ee=0.0059;size=81741;	GFP6_A
Seq12;ee=0.0061;size=73858;	Unsorted_A59
Seq13;ee=0.0059;size=70537;	GFP39_A
Seq4;ee=0.0059;size=162538;	GFP22_A
Seq16;ee=0.0059;size=62580;	GFP48_A
Seq14;ee=0.0059;size=68171;	GFP34_A
Seq11;ee=0.0059;size=74935;	GFP8_A
Seq6;ee=0.0059;size=136266;	GFP25_A
Seq21;ee=0.013;size=56005;	Native_L1
Seq20;ee=0.0059;size=58023;	CTLA-Avidin35_A
Seq18;ee=0.014;size=61327;	Unsorted_L46
Seq19;ee=0.0064;size=58842;	Unsorted_A13
Seq24;ee=0.0059;size=52840;	Unsorted_A53
Seq26;ee=0.0059;size=46341;	Unsorted_A72
Seq25;ee=0.0059;size=49033;	Unsorted_A39
Seq28;ee=0.013;size=38908;	Unsorted_L71
Seq27;ee=0.0059;size=41164;	PD1-Avidin21_A
Seq29;ee=0.0059;size=34930;	Luciferase17_A
Seq30;ee=0.0059;size=34566;	GFP9_A
Seq31;ee=0.0059;size=33502;	Unsorted_A57
Seq32;ee=0.0059;size=32814;	Luciferase9_A
Seq33;ee=0.0059;size=32636;	GFP32_A
Seq34;ee=0.0059;size=31988;	Unsorted_A14
Seq35;ee=0.0059;size=31307;	GFP2_A
Seq36;ee=0.0059;size=30905;	Native_A1
Seq37;ee=0.0059;size=25202;	GFP23_A
Seq39;ee=0.0062;size=23374;	VEGF15_N
Seq38;ee=0.0059;size=24085;	Unsorted_A70
Seq40;ee=0.013;size=22697;	Unsorted_L9
Seq15;ee=0.18;size=64302;	Unsorted_L39
Seq45;ee=0.012;size=19204;	Native_H1
Seq41;ee=0.0059;size=20625;	Unsorted_A4
Seq43;ee=0.0059;size=19585;	Unsorted_A65
Seq44;ee=0.013;size=19349;	Unsorted_L27
Seq42;ee=0.0059;size=19805;	PD1-Avidin43_A
Seq46;ee=0.0062;size=19106;	Native_N1
Seq49;ee=0.014;size=16175;	Unsorted_L10
Seq48;ee=0.017;size=16278;	Unsorted_F19
Seq47;ee=0.015;size=18829;	Unsorted_L58
Seq51;ee=0.0062;size=15141;	Unsorted_A21
Seq52;ee=0.0059;size=15045;	CTLA-Avidin50_A
Seq55;ee=0.0062;size=14694;	PE9_N
Seq53;ee=0.011;size=14918;	Native_P1
Seq58;ee=0.0059;size=12838;	GFP37_A
Seq59;ee=0.0063;size=12717;	Unsorted_A19
Seq57;ee=0.0059;size=13036;	Unsorted_A63
Seq62;ee=0.015;size=12291;	Native_E1
Seq61;ee=0.013;size=12316;	Unsorted_L22
Seq64;ee=0.0059;size=11774;	Unsorted_A44
Seq63;ee=0.015;size=12013;	Unsorted_E57
Seq66;ee=0.0062;size=11563;	VEGF39_N
Seq65;ee=0.0059;size=11577;	Unsorted_A54
Seq68;ee=0.0062;size=11054;	Luciferase5_N
Seq69;ee=0.0059;size=11029;	Unsorted_A33
Seq67;ee=0.0059;size=11111;	Unsorted_A24
Seq71;ee=0.0059;size=10789;	Unsorted_A26
Seq72;ee=0.0059;size=10770;	Unsorted_A67
Seq70;ee=0.0059;size=10951;	CTLA-Avidin19_A
Seq74;ee=0.0059;size=10663;	Unsorted_A2
Seq73;ee=0.014;size=10768;	Unsorted_L15
Seq78;ee=0.017;size=10160;	Unsorted_F40
Seq76;ee=0.0059;size=10418;	Unsorted_A62
Seq77;ee=0.0059;size=10368;	Unsorted_A23
Seq79;ee=0.0059;size=10150;	Unsorted_A22
Seq10;ee=0.0059;size=77421;	Unsorted_A73
Seq83;ee=0.0059;size=9264;	GFP28_A
Seq82;ee=0.0059;size=9289;	Unsorted_A1
Seq81;ee=0.0059;size=9756;	Unsorted_A17
Seq80;ee=0.0059;size=10069;	Unsorted_A69
Seq86;ee=0.0059;size=8349;	GFP4_A
Seq87;ee=0.014;size=8314;	Unsorted_L1
Seq89;ee=0.014;size=8084;	Unsorted_L14
Seq90;ee=0.0063;size=7588;	Unsorted_A71
Seq94;ee=0.0062;size=7053;	Unsorted_N3
Seq97;ee=0.018;size=6802;	Unsorted_F4
Seq96;ee=0.015;size=6805;	Unsorted_E66
Seq17;ee=0.0059;size=62126;	GFP17_A
Seq98;ee=0.013;size=6726;	Unsorted_L28
Seq99;ee=0.019;size=6691;	Unsorted_I52
Seq100;ee=0.016;size=6672;	Unsorted_L5
Seq23;ee=0.013;size=53570;	Unsorted_L36
Seq107;ee=0.0098;size=5927;	PE30_A
Seq22;ee=0.0059;size=54911;	GFP5_A
Seq112;ee=0.0062;size=5315;	VEGF21_N
Seq114;ee=0.0062;size=5170;	Unsorted_N62
Seq106;ee=0.0062;size=6042;	Unsorted_N40
Seq109;ee=0.059;size=5486;	Unsorted_F1
Seq113;ee=0.0059;size=5197;	Unsorted_A40
Seq105;ee=0.015;size=6048;	Unsorted_E49
Seq108;ee=0.0059;size=5706;	Unsorted_A51
Seq115;ee=0.0059;size=5115;	Unsorted_A42
Seq120;ee=0.018;size=4912;	Unsorted_F18
Seq119;ee=0.0059;size=4957;	PE10_A
Seq121;ee=0.0059;size=4894;	CTLA-Avidin24_A
Seq118;ee=0.015;size=5016;	Unsorted_E15
Seq124;ee=0.014;size=4622;	Unsorted_L16
Seq126;ee=0.0062;size=4448;	PD1-Avidin7_N
Seq135;ee=0.017;size=3991;	Unsorted_I12
Seq131;ee=0.013;size=4278;	Unsorted_L37
Seq133;ee=0.017;size=4200;	Unsorted_F7
Seq136;ee=0.0059;size=3957;	PD1-Avidin1_A
Seq134;ee=0.0059;size=4068;	GFP38_A
Seq137;ee=0.016;size=3955;	Native_B1
Seq141;ee=0.077;size=3766;	Unsorted_C26
Seq144;ee=0.013;size=3554;	Unsorted_L19
Seq150;ee=1;size=3383;	Unsorted_I70
Seq149;ee=0.015;size=3399;	Unsorted_E50
Seq148;ee=0.015;size=3478;	Unsorted_E1
