Seq2;ee=0.046;size=176330;	GFP11_A
Seq3;ee=0.0059;size=145258;	GFP31_A
Seq5;ee=0.0059;size=95259;	GFP22_A
Seq8;ee=0.0059;size=71222;	PE30_A
Seq7;ee=0.0059;size=80102;	CTLA-Avidin1_A
Seq9;ee=0.0059;size=67270;	GFP43_A
Seq10;ee=0.13;size=62608;	GFP48_A
Seq11;ee=0.0059;size=62473;	GFP14_A
Seq12;ee=0.0059;size=58069;	PE50_A
Seq13;ee=0.0059;size=54122;	GFP20_A
Seq14;ee=0.0059;size=52952;	GFP3_A
Seq15;ee=0.0059;size=52629;	GFP6_A
Seq16;ee=0.0059;size=52028;	GFP34_A
Seq18;ee=0.0059;size=42797;	GFP39_A
Seq4;ee=0.0059;size=121634;	CTLA-Avidin19_A
Seq19;ee=0.0059;size=35462;	GFP5_A
Seq21;ee=0.0059;size=30170;	GFP2_A
Seq24;ee=0.0059;size=24631;	PD1-Avidin21_A
Seq26;ee=0.0059;size=21488;	PD1-Avidin20_A
Seq28;ee=0.0059;size=20846;	PD1-Avidin18_A
Seq6;ee=0.0059;size=90192;	GFP25_A
Seq31;ee=0.0094;size=18879;	CTLA-Avidin38_A
Seq29;ee=0.0062;size=20096;	VEGF15_N
Seq30;ee=0.0059;size=19673;	GFP45_A
Seq32;ee=0.0059;size=16819;	GFP47_A
Seq33;ee=0.0059;size=16436;	PD1-Avidin44_A
Seq34;ee=0.0059;size=16233;	CTLA-Avidin7_A
Seq38;ee=0.0062;size=13297;	PD1-Avidin43_A
Seq39;ee=0.0059;size=13129;	PE7_A
Seq41;ee=0.0062;size=12707;	Luciferase43_N
Seq42;ee=0.0059;size=11951;	GFP37_A
Seq43;ee=0.0059;size=10860;	CTLA-Avidin35_A
Seq44;ee=0.0059;size=10394;	PE3_A
Seq36;ee=0.0059;size=14337;	GFP9_A
Seq45;ee=0.0059;size=10094;	CTLA-Avidin50_A
Seq46;ee=0.0059;size=9842;	GFP15_A
Seq48;ee=0.0059;size=9236;	PE36_A
Seq51;ee=0.0059;size=8589;	PD1-Avidin2_A
Seq50;ee=0.0059;size=8697;	GFP28_A
Seq52;ee=0.0059;size=8588;	PE38_A
Seq53;ee=0.0059;size=8427;	PD1-Avidin40_A
Seq54;ee=0.0059;size=8423;	PD1-Avidin29_A
Seq35;ee=0.0095;size=14709;	GFP23_A
Seq56;ee=0.0059;size=7668;	CTLA-Tris-Carb50_A
Seq57;ee=0.0059;size=7411;	CTLA-Avidin47_A
Seq37;ee=0.0062;size=14180;	VEGF39_N
Seq59;ee=0.0059;size=6889;	GFP4_A
Seq60;ee=0.0062;size=6865;	Luciferase5_N
Seq61;ee=0.0059;size=6446;	GFP40_A
Seq62;ee=0.0062;size=6438;	PE9_N
Seq66;ee=0.0059;size=5917;	GFP33_A
Seq68;ee=0.0059;size=5709;	CTLA-Avidin24_A
Seq69;ee=0.0059;size=5149;	CTLA-Avidin46_A
Seq71;ee=0.0062;size=5016;	VEGF21_N
Seq75;ee=0.0059;size=4777;	CTLA-Avidin12_A
Seq76;ee=0.0059;size=4635;	PD1-Avidin46_A
Seq79;ee=0.0059;size=4511;	GFP18_A
Seq84;ee=0.0059;size=4329;	PD1-Avidin8_A
Seq96;ee=0.0059;size=3503;	PD1-Avidin23_A
Seq97;ee=0.0059;size=3457;	GFP44_A
Seq98;ee=0.0059;size=3230;	PD1-Avidin12_A
Seq102;ee=0.0059;size=2954;	PD1-Avidin1_A
Seq104;ee=0.0059;size=2946;	GFP38_A
Seq109;ee=0.015;size=2742;	VEGF8_E
Seq110;ee=0.0059;size=2733;	Luciferase50_A
Seq112;ee=0.014;size=2696;	PE48_O
Seq114;ee=0.0059;size=2617;	PD1-Avidin4_A
Seq124;ee=0.0059;size=2224;	GFP36_A
Seq126;ee=0.014;size=2210;	PE26_O
Seq132;ee=0.0059;size=2076;	PE25_A
Seq133;ee=0.0059;size=2049;	CTLA-Avidin43_A
Seq140;ee=0.0059;size=1982;	GFP1_A
Seq142;ee=0.0059;size=1951;	PD1-Avidin39_A
Seq146;ee=0.0059;size=1889;	GFP46_A
Seq150;ee=0.0059;size=1869;	PD1-Avidin49_A
Seq152;ee=0.0062;size=1865;	PD1-Avidin7_N
Seq154;ee=0.0059;size=1860;	GFP16_A
Seq169;ee=0.0062;size=1704;	VEGF17_N
Seq172;ee=0.0062;size=1658;	CTLA-Avidin9_N
Seq173;ee=0.0059;size=1653;	Luciferase22_A
Seq178;ee=0.0062;size=1563;	CTLA-Avidin33_N
Seq182;ee=0.0059;size=1537;	PD1-Avidin28_A
Seq189;ee=0.015;size=1435;	CTLA-Avidin18_E
Seq194;ee=0.014;size=1385;	PE40_O
Seq196;ee=0.0062;size=1353;	PE10_A
Seq208;ee=0.0062;size=1288;	PE4_N
Seq211;ee=0.014;size=1269;	PE47_O
Seq217;ee=0.0059;size=1228;	Luciferase24_A
Seq221;ee=0.0059;size=1222;	PD1-Avidin14_A
Seq223;ee=0.0062;size=1206;	VEGF24_N
Seq226;ee=0.0063;size=1196;	Luciferase7_A
Seq228;ee=0.0059;size=1168;	GFP21_A
Seq234;ee=0.0059;size=1106;	GFP24_A
Seq237;ee=0.0059;size=1094;	CTLA-Avidin14_A
Seq238;ee=0.0062;size=1089;	VEGF42_N
Seq250;ee=0.0059;size=1037;	GFP26_A
Seq254;ee=0.014;size=1014;	PE14_O
Seq264;ee=0.0059;size=984;	GFP19_A
Seq276;ee=0.0062;size=906;	PE29_N
Seq284;ee=0.0062;size=889;	CTLA-Avidin3_N
Seq286;ee=0.0062;size=886;	Luciferase42_N
Seq298;ee=0.0062;size=855;	PD1-Avidin30_N
Seq308;ee=0.0062;size=832;	VEGF1_N
Seq307;ee=0.026;size=838;	CTLA-Tris-Carb16_O
Seq317;ee=0.0059;size=804;	PD1-Avidin48_A
Seq323;ee=0.0059;size=786;	PE49_A
Seq341;ee=0.0066;size=746;	PD1-Avidin32_A
Seq345;ee=0.0059;size=736;	PD1-Avidin41_A
Seq354;ee=0.0059;size=726;	CTLA-Avidin2_A
Seq359;ee=0.0059;size=714;	GFP27_A
Seq384;ee=0.0062;size=663;	Luciferase4_N
Seq389;ee=0.0062;size=654;	Luciferase44_N
Seq427;ee=0.0062;size=580;	VEGF33_N
Seq428;ee=0.0062;size=580;	VEGF34_N
Seq435;ee=0.0059;size=575;	CTLA-Avidin25_A
Seq438;ee=0.0062;size=570;	VEGF13_N
Seq455;ee=0.0062;size=552;	Luciferase34_N
Seq490;ee=0.0062;size=512;	Luciferase41_N
Seq495;ee=0.014;size=506;	PE27_O
Seq501;ee=0.0062;size=501;	Luciferase3_N
Seq500;ee=0.014;size=501;	CTLA-Tris-Carb13_O
Seq535;ee=0.0062;size=472;	VEGF9_N
Seq536;ee=0.015;size=471;	PD1-Avidin9_E
Seq547;ee=0.067;size=466;	PE17_O
Seq548;ee=0.011;size=464;	CTLA-Avidin4_H
Seq566;ee=0.0059;size=450;	GFP41_A
Seq575;ee=0.011;size=445;	PD1-Avidin50_N
Seq585;ee=0.0062;size=437;	PD1-Avidin27_N
Seq598;ee=0.015;size=422;	PD1-Avidin13_E
Seq604;ee=0.0062;size=418;	VEGF16_N
Seq618;ee=0.0059;size=412;	GFP35_A
Seq620;ee=0.0062;size=412;	PD1-Avidin5_N
Seq27;ee=0.0059;size=21390;	Luciferase9_A
Seq22;ee=0.0059;size=27599;	Luciferase17_A
Seq622;ee=0.0062;size=410;	CTLA-Avidin20_N
Seq17;ee=0.0059;size=43543;	GFP8_A
Seq20;ee=0.0059;size=35136;	GFP32_A
Seq25;ee=0.0059;size=22334;	GFP42_A
Seq624;ee=0.0062;size=409;	PE22_N
Seq645;ee=0.0059;size=396;	GFP49_A
Seq678;ee=0.0062;size=378;	VEGF38_N
Seq686;ee=0.0062;size=374;	VEGF44_N
Seq698;ee=0.0062;size=369;	VEGF18_N
Seq741;ee=0.0062;size=350;	Luciferase26_N
Seq759;ee=0.0062;size=344;	VEGF25_N
Seq757;ee=0.0062;size=344;	VEGF48_N
Seq831;ee=0.0059;size=321;	GFP30_A
Seq853;ee=0.0062;size=314;	VEGF4_N
Seq884;ee=0.0062;size=305;	Luciferase40_N
Seq913;ee=0.0062;size=295;	Luciferase1_N
