Seq3;ee=0.0059;size=89773;	PE30_A
Seq2;ee=0.039;size=101406;	Unsorted_L37
Seq5;ee=0.0059;size=73096;	Unsorted_A6
Seq8;ee=0.0059;size=56427;	CTLA-Avidin1_A
Seq9;ee=0.013;size=55557;	Unsorted_L11
Seq4;ee=0.0059;size=83660;	PE50_A
Seq16;ee=0.0062;size=24113;	Unsorted_N1
Seq14;ee=0.017;size=27394;	Unsorted_L17
Seq13;ee=0.0059;size=31427;	Unsorted_A12
Seq18;ee=0.0059;size=23963;	Unsorted_A32
Seq17;ee=0.013;size=24005;	Unsorted_L63
Seq19;ee=0.014;size=22223;	Unsorted_L12
Seq20;ee=0.014;size=19006;	Unsorted_L56
Seq21;ee=0.0059;size=18840;	GFP45_A
Seq22;ee=0.0059;size=17486;	PD1-Avidin20_A
Seq23;ee=0.0059;size=16604;	Unsorted_A51
Seq24;ee=0.013;size=16094;	Unsorted_L34
Seq25;ee=0.0059;size=14413;	PD1-Avidin18_A
Seq26;ee=0.014;size=13797;	Unsorted_L20
Seq27;ee=0.0062;size=13565;	Unsorted_N29
Seq28;ee=0.0059;size=12944;	Unsorted_A9
Seq29;ee=0.0059;size=12570;	GFP47_A
Seq31;ee=0.0059;size=11643;	Unsorted_A52
Seq30;ee=0.017;size=12133;	Unsorted_J49
Seq33;ee=0.0059;size=11363;	CTLA-Avidin38_A
Seq34;ee=0.0059;size=10932;	PE3_A
Seq35;ee=0.0079;size=10869;	GFP42_A
Seq36;ee=0.0063;size=10594;	Unsorted_A68
Seq6;ee=0.0059;size=65358;	CTLA-Avidin19_A
Seq38;ee=0.0059;size=10275;	CTLA-Avidin7_A
Seq37;ee=0.0059;size=10419;	Unsorted_A36
Seq39;ee=0.013;size=10267;	Unsorted_L51
Seq40;ee=0.013;size=10200;	Unsorted_L71
Seq10;ee=0.0059;size=41777;	GFP43_A
Seq43;ee=0.014;size=9767;	Unsorted_L13
Seq15;ee=0.013;size=24343;	Unsorted_L2
Seq45;ee=0.0059;size=9716;	Unsorted_A70
Seq42;ee=0.0059;size=9907;	PE38_A
Seq41;ee=0.018;size=9911;	Unsorted_J67
Seq7;ee=0.0059;size=65160;	GFP3_A
Seq51;ee=0.0059;size=8656;	PD1-Avidin2_A
Seq50;ee=0.013;size=8709;	Unsorted_L28
Seq44;ee=0.0059;size=9765;	Unsorted_A64
Seq48;ee=0.014;size=8953;	Unsorted_L16
Seq47;ee=0.0059;size=9506;	Unsorted_A38
Seq49;ee=0.022;size=8806;	Unsorted_E48
Seq46;ee=0.013;size=9655;	Unsorted_L24
Seq52;ee=0.0059;size=8342;	CTLA-Tris-Carb50_A
Seq11;ee=0.0059;size=40564;	Unsorted_A47
Seq12;ee=0.0059;size=35321;	GFP20_A
Seq56;ee=0.015;size=6679;	Unsorted_E11
Seq57;ee=0.0062;size=6668;	Unsorted_N54
Seq58;ee=0.0059;size=6648;	Unsorted_A8
Seq54;ee=0.0059;size=7337;	PD1-Avidin29_A
Seq53;ee=0.015;size=8279;	Unsorted_L75
Seq59;ee=0.018;size=6529;	Unsorted_E34
Seq60;ee=0.0059;size=6330;	Unsorted_A62
Seq55;ee=0.0059;size=6748;	PD1-Avidin40_A
Seq61;ee=0.0059;size=6165;	Unsorted_A29
Seq62;ee=0.0062;size=6005;	Luciferase43_N
Seq65;ee=0.0059;size=5649;	CTLA-Avidin47_A
Seq63;ee=0.0059;size=5925;	Unsorted_A43
Seq66;ee=0.011;size=5524;	Unsorted_P5
Seq67;ee=0.013;size=5280;	Unsorted_L27
Seq71;ee=0.013;size=4518;	Unsorted_L42
Seq73;ee=0.013;size=4370;	Unsorted_L50
Seq68;ee=0.0059;size=5027;	GFP33_A
Seq69;ee=0.016;size=4937;	Unsorted_B31
Seq72;ee=0.0059;size=4386;	GFP40_A
Seq70;ee=0.017;size=4875;	Unsorted_J23
Seq76;ee=0.0059;size=3875;	Unsorted_A45
Seq75;ee=0.0059;size=4112;	PE36_A
Seq77;ee=0.0059;size=3585;	GFP18_A
Seq81;ee=0.0059;size=3217;	GFP44_A
Seq80;ee=0.21;size=3234;	Unsorted_L23
Seq82;ee=0.16;size=3212;	Unsorted_J64
Seq83;ee=0.0059;size=3191;	CTLA-Avidin46_A
Seq85;ee=0.078;size=3091;	Unsorted_L53
Seq84;ee=0.017;size=3154;	Unsorted_J63
Seq79;ee=0.015;size=3412;	Unsorted_L67
Seq86;ee=0.014;size=3083;	Unsorted_L8
Seq87;ee=0.0059;size=3057;	PD1-Avidin21_A
Seq88;ee=0.0059;size=3001;	Unsorted_A7
Seq92;ee=0.0059;size=2892;	Unsorted_A50
Seq91;ee=0.014;size=2903;	PE26_O
Seq90;ee=0.052;size=2933;	Unsorted_Q52
Seq89;ee=0.013;size=2972;	Native_L1
Seq93;ee=0.0059;size=2884;	Unsorted_A34
Seq96;ee=0.015;size=2815;	Unsorted_E27
Seq97;ee=0.013;size=2763;	Unsorted_L36
Seq94;ee=0.11;size=2881;	PE48_O
Seq100;ee=0.015;size=2598;	Unsorted_E50
Seq98;ee=0.0059;size=2738;	Unsorted_A58
Seq104;ee=0.0059;size=2462;	PD1-Avidin8_A
Seq106;ee=0.015;size=2367;	Unsorted_E20
Seq101;ee=0.017;size=2548;	Unsorted_J8
Seq103;ee=0.013;size=2465;	Unsorted_L60
Seq102;ee=0.0059;size=2467;	Unsorted_A35
Seq105;ee=0.013;size=2400;	Unsorted_L7
Seq107;ee=0.0098;size=2364;	PD1-Avidin49_A
Seq108;ee=0.017;size=2360;	Unsorted_J12
Seq113;ee=0.012;size=2161;	Unsorted_P54
Seq111;ee=0.013;size=2234;	Unsorted_L65
Seq110;ee=0.0059;size=2281;	PD1-Avidin46_A
Seq117;ee=0.0059;size=2099;	Unsorted_A28
Seq112;ee=0.014;size=2191;	Unsorted_L32
Seq115;ee=0.018;size=2150;	Native_J1
Seq118;ee=0.0059;size=2090;	PD1-Avidin4_A
Seq119;ee=0.0059;size=2087;	Unsorted_A15
Seq116;ee=0.014;size=2146;	Unsorted_L61
Seq121;ee=0.0059;size=1958;	PD1-Avidin12_A
Seq120;ee=0.02;size=2070;	Unsorted_Q29
Seq123;ee=0.0059;size=1923;	GFP31_A
Seq122;ee=0.013;size=1943;	Unsorted_L29
Seq125;ee=0.017;size=1858;	Native_B1
Seq124;ee=0.0059;size=1909;	Unsorted_A23
Seq126;ee=0.015;size=1836;	Unsorted_E18
Seq128;ee=0.015;size=1796;	Unsorted_E28
Seq131;ee=0.017;size=1658;	Unsorted_J7
Seq129;ee=0.014;size=1726;	Unsorted_L25
Seq130;ee=0.013;size=1669;	Unsorted_L52
Seq133;ee=0.0059;size=1600;	Unsorted_A53
Seq136;ee=0.43;size=1552;	Unsorted_J1
Seq134;ee=0.017;size=1569;	Unsorted_J33
Seq135;ee=0.047;size=1554;	Unsorted_G30
Seq138;ee=0.014;size=1533;	Unsorted_L1
Seq137;ee=0.0059;size=1544;	Unsorted_A20
Seq142;ee=0.0059;size=1491;	GFP1_A
Seq140;ee=0.0059;size=1525;	GFP36_A
Seq141;ee=0.013;size=1500;	Unsorted_L49
Seq143;ee=0.017;size=1477;	Unsorted_L10
Seq144;ee=0.0059;size=1473;	GFP16_A
Seq146;ee=0.017;size=1463;	Unsorted_J29
Seq147;ee=0.014;size=1459;	Unsorted_D5
Seq152;ee=0.5;size=1359;	Unsorted_Q51
Seq155;ee=0.013;size=1328;	Unsorted_L38
Seq153;ee=0.0064;size=1356;	Unsorted_N8
Seq149;ee=0.012;size=1410;	Unsorted_P68
Seq157;ee=0.018;size=1311;	Unsorted_J15
Seq156;ee=0.017;size=1324;	Unsorted_J41
Seq158;ee=0.014;size=1305;	PE14_O
Seq160;ee=0.021;size=1279;	Unsorted_E36
Seq161;ee=0.017;size=1269;	Unsorted_J48
Seq162;ee=0.013;size=1265;	Unsorted_L46
Seq163;ee=0.017;size=1261;	Unsorted_J34
Seq167;ee=0.018;size=1237;	Unsorted_J32
Seq164;ee=0.015;size=1261;	Unsorted_E26
Seq165;ee=0.015;size=1245;	Unsorted_E44
Seq168;ee=0.011;size=1230;	Unsorted_H29
Seq169;ee=0.0059;size=1226;	CTLA-Avidin43_A
Seq171;ee=0.018;size=1202;	Unsorted_J21
Seq170;ee=0.012;size=1219;	Unsorted_P60
Seq172;ee=0.017;size=1202;	Unsorted_J45
Seq174;ee=0.011;size=1156;	Unsorted_H60
Seq176;ee=0.0059;size=1147;	GFP46_A
Seq179;ee=0.013;size=1108;	Unsorted_L74
Seq173;ee=0.0062;size=1183;	Unsorted_N31
Seq177;ee=0.013;size=1128;	Unsorted_L58
Seq180;ee=0.0059;size=1094;	PD1-Avidin44_A
Seq183;ee=0.014;size=1080;	PE47_O
Seq185;ee=0.014;size=1033;	Unsorted_O6
Seq182;ee=0.014;size=1081;	Unsorted_O22
Seq184;ee=0.03;size=1041;	Unsorted_P48
