Seq2;ee=0.0059;size=197505;	GFP31_A
Seq5;ee=0.0059;size=97710;	Unsorted_A27
Seq3;ee=0.0059;size=151154;	GFP22_A
Seq6;ee=0.0059;size=85182;	GFP48_A
Seq7;ee=0.013;size=74769;	Unsorted_L36
Seq8;ee=0.013;size=70836;	Native_L1
Seq9;ee=0.013;size=61159;	Unsorted_L39
Seq10;ee=0.013;size=59655;	Unsorted_L27
Seq11;ee=0.0059;size=56374;	CTLA-Avidin19_A
Seq12;ee=0.0059;size=51864;	GFP8_A
Seq14;ee=0.0059;size=49773;	GFP5_A
Seq16;ee=0.013;size=35456;	Unsorted_L9
Seq17;ee=0.0059;size=35396;	PD1-Avidin21_A
Seq15;ee=0.0059;size=38460;	GFP17_A
Seq4;ee=0.013;size=115445;	Unsorted_L46
Seq20;ee=0.013;size=30450;	Unsorted_L71
Seq21;ee=0.0059;size=27549;	PE7_A
Seq25;ee=0.0059;size=21693;	Unsorted_A50
Seq27;ee=0.0059;size=19735;	Unsorted_A23
Seq28;ee=0.0059;size=17146;	Unsorted_A39
Seq29;ee=0.0059;size=16418;	Unsorted_A61
Seq30;ee=0.0059;size=16029;	PD1-Avidin44_A
Seq33;ee=0.0059;size=13920;	Unsorted_A4
Seq32;ee=0.0059;size=14789;	Luciferase17_A
Seq31;ee=0.0059;size=15652;	PD1-Avidin43_A
Seq35;ee=0.0062;size=13626;	VEGF39_N
Seq37;ee=0.013;size=13346;	Unsorted_L10
Seq36;ee=0.013;size=13456;	Unsorted_L22
Seq38;ee=0.2;size=12793;	Unsorted_L37
Seq40;ee=0.0059;size=12304;	GFP37_A
Seq39;ee=0.0059;size=12578;	PE30_A
Seq41;ee=0.014;size=12149;	Unsorted_L19
Seq43;ee=0.017;size=11810;	Unsorted_B31
Seq44;ee=0.0059;size=10686;	Unsorted_A44
Seq42;ee=0.014;size=12130;	Unsorted_L15
Seq46;ee=0.0059;size=10429;	PE50_A
Seq45;ee=0.017;size=10594;	Unsorted_F31
Seq47;ee=0.013;size=9405;	Unsorted_L14
Seq48;ee=0.0059;size=9393;	Unsorted_A2
Seq49;ee=0.0059;size=9065;	Unsorted_A69
Seq50;ee=0.0059;size=8859;	CTLA-Avidin12_A
Seq51;ee=0.013;size=8846;	Unsorted_L5
Seq52;ee=0.0059;size=8782;	Unsorted_A63
Seq53;ee=0.0059;size=8458;	GFP3_A
Seq55;ee=0.013;size=8083;	Unsorted_L1
Seq54;ee=0.0059;size=8332;	Unsorted_A6
Seq56;ee=0.013;size=7958;	Unsorted_L11
Seq58;ee=0.0062;size=7696;	PE9_N
Seq59;ee=0.0059;size=7573;	PD1-Avidin23_A
Seq60;ee=0.0059;size=7482;	GFP23_A
Seq61;ee=0.013;size=7306;	Unsorted_L18
Seq62;ee=0.0059;size=6765;	CTLA-Avidin1_A
Seq65;ee=0.0059;size=5950;	CTLA-Avidin7_A
Seq63;ee=0.0059;size=6434;	Unsorted_A62
Seq64;ee=0.0065;size=6169;	GFP43_A
Seq66;ee=0.0059;size=5934;	GFP14_A
Seq68;ee=0.0062;size=5818;	Luciferase5_N
Seq67;ee=0.0059;size=5929;	CTLA-Avidin35_A
Seq70;ee=0.0059;size=5622;	GFP15_A
Seq71;ee=0.0062;size=5541;	Unsorted_N43
Seq72;ee=0.015;size=5425;	Unsorted_E49
Seq73;ee=0.0059;size=5274;	Unsorted_A40
Seq75;ee=0.0062;size=5026;	VEGF21_N
Seq76;ee=0.0059;size=4930;	Unsorted_A47
Seq74;ee=0.013;size=5101;	Unsorted_L17
Seq24;ee=0.0062;size=21824;	VEGF15_N
Seq77;ee=0.0062;size=4888;	Unsorted_N40
Seq79;ee=0.0059;size=4676;	Unsorted_A42
Seq78;ee=0.0059;size=4758;	GFP20_A
Seq82;ee=0.0059;size=4261;	Unsorted_A12
Seq22;ee=0.0059;size=25104;	Luciferase9_A
Seq18;ee=0.0059;size=34197;	GFP2_A
Seq19;ee=0.0059;size=30848;	Unsorted_A53
Seq83;ee=0.018;size=4254;	Unsorted_F18
Seq23;ee=0.013;size=23900;	Unsorted_L58
Seq13;ee=0.0059;size=51824;	Unsorted_A37
Seq90;ee=0.0059;size=3924;	Unsorted_A16
Seq26;ee=0.0059;size=20999;	GFP9_A
Seq95;ee=0.014;size=3630;	Unsorted_L68
Seq91;ee=0.0059;size=3852;	Unsorted_A70
Seq92;ee=0.017;size=3815;	Unsorted_L57
Seq85;ee=0.0062;size=4206;	Unsorted_N73
Seq96;ee=0.015;size=3626;	Unsorted_Q66
Seq94;ee=0.0059;size=3644;	PD1-Avidin1_A
Seq93;ee=0.013;size=3754;	Unsorted_L51
Seq97;ee=0.013;size=3501;	Unsorted_L48
Seq98;ee=0.05;size=3455;	Unsorted_F7
Seq99;ee=0.0062;size=3341;	Luciferase43_N
Seq102;ee=0.015;size=3297;	PE40_O
Seq101;ee=0.015;size=3301;	Unsorted_Q6
Seq106;ee=0.014;size=3136;	Unsorted_L63
Seq104;ee=0.014;size=3235;	Unsorted_Q27
Seq107;ee=0.015;size=3120;	Unsorted_E56
Seq109;ee=0.0059;size=3097;	Unsorted_A71
Seq108;ee=0.015;size=3106;	VEGF8_E
Seq110;ee=0.013;size=3064;	Unsorted_L2
Seq116;ee=0.0062;size=2880;	Unsorted_N1
Seq111;ee=0.015;size=3045;	Unsorted_E52
Seq112;ee=0.013;size=2979;	Unsorted_L42
Seq118;ee=0.015;size=2842;	Unsorted_E48
Seq113;ee=0.018;size=2966;	Unsorted_I70
Seq115;ee=0.025;size=2889;	Unsorted_C14
Seq121;ee=0.0059;size=2714;	GFP45_A
Seq117;ee=0.015;size=2869;	Unsorted_E5
Seq114;ee=0.0062;size=2938;	Unsorted_N59
Seq123;ee=0.013;size=2655;	Unsorted_L56
Seq120;ee=0.013;size=2743;	Unsorted_L12
Seq119;ee=0.0062;size=2752;	Unsorted_A32
Seq128;ee=0.011;size=2557;	Unsorted_H45
Seq127;ee=0.014;size=2563;	Unsorted_L13
Seq125;ee=0.0059;size=2611;	Unsorted_A1
Seq126;ee=0.0062;size=2592;	Unsorted_N18
