Seq2;ee=0.0059;size=208783;	GFP11_A
Seq3;ee=0.0059;size=207270;	Unsorted_A75
Seq5;ee=0.0059;size=183741;	GFP31_A
Seq7;ee=0.0059;size=123187;	PE30_A
Seq6;ee=0.013;size=161924;	Unsorted_L37
Seq8;ee=0.0059;size=121792;	GFP22_A
Seq9;ee=0.0059;size=111967;	PE50_A
Seq10;ee=0.0059;size=106190;	Unsorted_A37
Seq11;ee=0.053;size=103611;	Unsorted_L46
Seq13;ee=0.0059;size=90178;	GFP25_A
Seq15;ee=0.0059;size=85049;	GFP14_A
Seq14;ee=0.013;size=88079;	Native_L1
Seq17;ee=0.0059;size=79863;	GFP43_A
Seq19;ee=0.0059;size=76736;	CTLA-Avidin1_A
Seq18;ee=0.013;size=79124;	Unsorted_L39
Seq20;ee=0.0059;size=68210;	GFP6_A
Seq4;ee=0.0059;size=198129;	CTLA-Avidin19_A
Seq21;ee=0.0059;size=66902;	GFP48_A
Seq22;ee=0.014;size=64516;	Unsorted_L71
Seq24;ee=0.0059;size=63611;	Unsorted_A47
Seq25;ee=0.0059;size=62223;	GFP20_A
Seq26;ee=0.0059;size=62040;	GFP34_A
Seq27;ee=0.0059;size=59573;	GFP3_A
Seq28;ee=0.013;size=59312;	Unsorted_L63
Seq30;ee=0.0059;size=53259;	GFP39_A
Seq32;ee=0.0059;size=51683;	GFP8_A
Seq31;ee=0.0059;size=52580;	Unsorted_A39
Seq34;ee=0.0059;size=48724;	Unsorted_A12
Seq39;ee=0.0059;size=42783;	GFP17_A
Seq37;ee=0.0059;size=43430;	Unsorted_A53
Seq38;ee=0.0059;size=43233;	Unsorted_A72
Seq40;ee=0.0059;size=41915;	Unsorted_A13
Seq41;ee=0.0059;size=40065;	Unsorted_A32
Seq42;ee=0.017;size=38158;	Unsorted_J49
Seq43;ee=0.013;size=37580;	Unsorted_L9
Seq45;ee=0.013;size=35847;	Unsorted_L34
Seq44;ee=0.0059;size=37131;	Unsorted_A23
Seq46;ee=0.038;size=34640;	Unsorted_L12
Seq47;ee=0.012;size=34138;	Unsorted_P5
Seq12;ee=0.013;size=94793;	Unsorted_L27
Seq49;ee=0.0059;size=33083;	GFP2_A
Seq23;ee=0.0059;size=63682;	Unsorted_A73
Seq16;ee=0.045;size=80799;	Unsorted_L36
Seq53;ee=0.0059;size=29790;	CTLA-Avidin7_A
Seq33;ee=0.0059;size=48731;	PD1-Avidin21_A
Seq29;ee=0.012;size=57450;	Unsorted_N1
Seq56;ee=0.0059;size=28689;	Luciferase9_A
Seq48;ee=0.0059;size=33472;	CTLA-Avidin35_A
Seq50;ee=0.013;size=33035;	Unsorted_L58
Seq52;ee=0.015;size=30135;	Unsorted_L20
Seq55;ee=0.0059;size=28879;	GFP32_A
Seq54;ee=0.098;size=29741;	Unsorted_L17
Seq57;ee=0.0059;size=28451;	GFP9_A
Seq51;ee=0.0059;size=31167;	Luciferase17_A
Seq59;ee=0.0059;size=27662;	Native_A1
Seq35;ee=0.0059;size=47807;	GFP5_A
Seq58;ee=0.0059;size=28160;	GFP47_A
Seq60;ee=0.0059;size=27382;	Unsorted_A57
Seq36;ee=0.0059;size=47753;	Unsorted_A59
Seq61;ee=0.0059;size=27217;	Unsorted_A14
Seq62;ee=0.0059;size=26556;	GFP45_A
Seq63;ee=0.0059;size=25242;	Unsorted_A52
Seq66;ee=0.015;size=24778;	Unsorted_L10
Seq65;ee=0.0059;size=24842;	PD1-Avidin20_A
Seq64;ee=0.0059;size=25115;	Unsorted_A70
Seq68;ee=0.0059;size=24251;	Unsorted_A9
Seq67;ee=0.12;size=24461;	Native_H1
Seq69;ee=0.0062;size=24221;	VEGF15_N
Seq70;ee=0.0059;size=24024;	Unsorted_A51
Seq75;ee=0.0062;size=21480;	Unsorted_N29
Seq76;ee=0.78;size=21083;	Unsorted_J67
Seq73;ee=0.015;size=22422;	Unsorted_E48
Seq72;ee=0.013;size=22783;	Unsorted_L28
Seq74;ee=0.0059;size=21825;	PD1-Avidin18_A
Seq71;ee=0.0059;size=23919;	Unsorted_A6
Seq77;ee=0.0059;size=20839;	PD1-Avidin44_A
Seq78;ee=0.015;size=20709;	Unsorted_E11
Seq79;ee=0.0059;size=20431;	GFP23_A
Seq81;ee=0.017;size=20085;	Unsorted_J23
Seq83;ee=0.013;size=18926;	Unsorted_L22
Seq80;ee=0.0059;size=20371;	Unsorted_A68
Seq87;ee=0.0059;size=18110;	GFP42_A
Seq85;ee=0.0059;size=18744;	Unsorted_A62
Seq82;ee=0.0059;size=19481;	Unsorted_A71
Seq86;ee=0.0059;size=18168;	Unsorted_A61
Seq84;ee=0.0059;size=18777;	Unsorted_A38
Seq89;ee=0.0059;size=17069;	PD1-Avidin43_A
Seq90;ee=0.016;size=17062;	Native_B1
Seq93;ee=0.0059;size=16490;	Unsorted_A4
Seq88;ee=0.0059;size=17919;	CTLA-Avidin38_A
Seq94;ee=0.017;size=16232;	Unsorted_F31
Seq92;ee=0.013;size=16632;	Unsorted_L16
Seq91;ee=0.0059;size=16930;	PE3_A
Seq95;ee=0.015;size=16082;	Native_E1
Seq97;ee=0.0059;size=15552;	PE38_A
Seq98;ee=0.0059;size=15515;	Unsorted_A65
Seq100;ee=0.015;size=15432;	Unsorted_E57
Seq101;ee=0.0062;size=15314;	VEGF39_N
Seq102;ee=0.017;size=14927;	Unsorted_J63
Seq103;ee=0.013;size=14854;	Unsorted_L15
Seq99;ee=0.014;size=15436;	Unsorted_L1
Seq104;ee=0.013;size=14151;	Unsorted_L24
Seq108;ee=0.0062;size=13604;	Native_N1
Seq110;ee=0.017;size=13017;	Unsorted_J64
Seq109;ee=0.0059;size=13019;	CTLA-Tris-Carb50_A
Seq106;ee=0.012;size=13818;	Native_P1
