Seq4;ee=0.0059;size=3258;	PE36_A
Seq7;ee=0.013;size=1054;	Unsorted_L17
Seq5;ee=0.0059;size=2048;	Unsorted_A45
Seq14;ee=0.046;size=584;	Unsorted_L2
Seq9;ee=0.013;size=961;	Unsorted_L61
Seq2;ee=0.041;size=5066;	Unsorted_L11
Seq18;ee=0.013;size=474;	Unsorted_L42
Seq15;ee=0.013;size=529;	Unsorted_L37
Seq10;ee=0.0059;size=829;	Unsorted_A6
Seq26;ee=0.013;size=280;	Unsorted_L36
Seq21;ee=0.01;size=421;	GFP31_A
Seq8;ee=0.014;size=967;	Unsorted_L13
Seq23;ee=0.013;size=378;	Unsorted_L46
Seq30;ee=0.0059;size=264;	Unsorted_A50
Seq3;ee=0.013;size=4029;	Unsorted_L51
Seq24;ee=0.018;size=366;	Unsorted_B31
Seq28;ee=0.0059;size=270;	GFP11_A
Seq34;ee=0.013;size=249;	Unsorted_L56
Seq33;ee=0.013;size=251;	Unsorted_L27
Seq35;ee=0.014;size=247;	Unsorted_L71
Seq40;ee=0.013;size=236;	Native_L1
Seq38;ee=0.0064;size=239;	Unsorted_N1
Seq39;ee=0.0059;size=237;	PE50_A
Seq36;ee=0.014;size=240;	Unsorted_L39
Seq19;ee=0.014;size=437;	Unsorted_L38
Seq37;ee=0.015;size=239;	Unsorted_E31
Seq43;ee=0.0059;size=230;	PE30_A
Seq44;ee=0.0059;size=226;	GFP8_A
Seq45;ee=0.0059;size=220;	Unsorted_A27
Seq46;ee=0.11;size=218;	Unsorted_E34
Seq52;ee=0.0059;size=192;	Unsorted_A73
Seq48;ee=0.0059;size=209;	Unsorted_A53
Seq50;ee=0.0059;size=194;	Unsorted_A36
Seq51;ee=0.013;size=193;	Unsorted_L63
Seq49;ee=0.013;size=196;	Unsorted_L12
Seq56;ee=0.0059;size=163;	Unsorted_A39
Seq57;ee=0.0059;size=162;	Unsorted_A47
Seq54;ee=0.0059;size=181;	GFP34_A
Seq53;ee=0.0059;size=183;	Unsorted_A12
Seq58;ee=0.0059;size=160;	CTLA-Avidin19_A
Seq62;ee=0.0059;size=152;	GFP22_A
Seq61;ee=0.059;size=153;	Unsorted_L9
Seq60;ee=0.0059;size=156;	Unsorted_A23
Seq64;ee=0.013;size=145;	Unsorted_L75
Seq63;ee=0.0059;size=149;	GFP14_A
Seq65;ee=0.0059;size=145;	Unsorted_A72
Seq66;ee=0.0059;size=144;	GFP39_A
Seq67;ee=0.011;size=132;	Unsorted_H29
Seq72;ee=0.0059;size=122;	Unsorted_A59
Seq70;ee=0.0059;size=130;	GFP48_A
Seq68;ee=0.014;size=132;	Unsorted_L58
Seq75;ee=0.0059;size=118;	GFP15_A
Seq73;ee=0.014;size=120;	Unsorted_D21
Seq80;ee=0.02;size=111;	Unsorted_G47
Seq78;ee=0.0059;size=112;	GFP20_A
Seq79;ee=0.0059;size=111;	Unsorted_A4
Seq86;ee=0.0062;size=102;	Unsorted_N29
Seq81;ee=0.013;size=111;	Unsorted_L28
Seq83;ee=0.0059;size=105;	PE3_A
Seq84;ee=0.013;size=104;	Unsorted_L49
Seq85;ee=0.0059;size=103;	Unsorted_A37
Seq90;ee=0.0059;size=97;	Unsorted_A62
Seq88;ee=0.013;size=102;	Unsorted_L20
Seq94;ee=0.013;size=95;	Unsorted_L34
Seq95;ee=0.017;size=93;	Unsorted_J49
Seq99;ee=0.0059;size=91;	Native_A1
Seq96;ee=0.0059;size=92;	Unsorted_A13
Seq101;ee=0.013;size=90;	Unsorted_L26
Seq100;ee=0.0059;size=90;	Unsorted_A51
Seq97;ee=0.0059;size=92;	Unsorted_A9
Seq105;ee=0.0059;size=86;	Unsorted_A32
