Seq2;ee=0.0059;size=49960;	Unsorted_A6
Seq3;ee=0.013;size=43990;	Unsorted_L51
Seq5;ee=0.013;size=35388;	Unsorted_L13
Seq8;ee=0.014;size=26310;	Unsorted_L38
Seq7;ee=0.0059;size=29335;	Unsorted_A36
Seq9;ee=0.014;size=22406;	Unsorted_L11
Seq11;ee=0.32;size=16237;	PE50_A
Seq10;ee=0.0059;size=20176;	PE30_A
Seq12;ee=0.0059;size=14744;	Unsorted_A45
Seq4;ee=0.013;size=40218;	Unsorted_L37
Seq14;ee=0.014;size=12074;	Unsorted_L61
Seq13;ee=0.0059;size=14625;	GFP43_A
Seq6;ee=0.027;size=35371;	Unsorted_L17
Seq18;ee=0.0059;size=8368;	Unsorted_A32
Seq20;ee=0.0059;size=7593;	Unsorted_A35
Seq19;ee=0.0062;size=8029;	Unsorted_N1
Seq22;ee=0.0059;size=7391;	GFP3_A
Seq21;ee=0.057;size=7395;	Unsorted_L49
Seq26;ee=0.013;size=6853;	Unsorted_L20
Seq25;ee=0.0059;size=7150;	GFP42_A
Seq27;ee=0.0059;size=6401;	PE36_A
Seq29;ee=0.0092;size=5438;	GFP31_A
Seq33;ee=0.013;size=4045;	Unsorted_L12
Seq34;ee=0.014;size=3946;	Unsorted_L26
Seq32;ee=0.0061;size=4990;	Unsorted_A12
Seq35;ee=0.0059;size=3761;	PD1-Avidin21_A
Seq36;ee=0.0059;size=3726;	GFP22_A
Seq37;ee=0.0059;size=3548;	GFP11_A
Seq38;ee=0.0059;size=3342;	GFP14_A
Seq40;ee=0.0059;size=3191;	Unsorted_A47
Seq42;ee=0.015;size=3107;	Unsorted_E34
Seq44;ee=0.0062;size=2945;	Unsorted_N29
Seq43;ee=0.018;size=2954;	Unsorted_J49
Seq46;ee=0.013;size=2864;	Unsorted_L60
Seq47;ee=0.0059;size=2835;	GFP26_A
Seq48;ee=0.014;size=2720;	Unsorted_L2
Seq49;ee=0.012;size=2662;	Unsorted_P65
Seq16;ee=0.0059;size=10740;	GFP20_A
Seq53;ee=0.0059;size=2515;	PD1-Avidin40_A
Seq52;ee=0.0059;size=2517;	GFP48_A
Seq54;ee=0.0059;size=2501;	PD1-Avidin18_A
Seq50;ee=0.015;size=2594;	Unsorted_E31
Seq28;ee=0.0096;size=5626;	CTLA-Avidin1_A
Seq15;ee=0.0059;size=11609;	Unsorted_A64
Seq24;ee=0.012;size=7289;	Unsorted_P5
Seq17;ee=0.013;size=10685;	Unsorted_L63
Seq23;ee=0.0094;size=7308;	CTLA-Avidin19_A
Seq58;ee=0.013;size=2422;	Unsorted_L34
Seq61;ee=0.0059;size=2312;	Unsorted_A9
Seq57;ee=0.057;size=2434;	Unsorted_L24
Seq63;ee=0.0059;size=2288;	Unsorted_A38
Seq55;ee=0.015;size=2475;	Unsorted_E11
Seq56;ee=0.0089;size=2454;	PE3_A
Seq69;ee=0.0059;size=2019;	Unsorted_A58
Seq70;ee=0.0059;size=2010;	GFP33_A
Seq72;ee=0.38;size=1990;	Unsorted_L28
Seq71;ee=0.0099;size=2009;	Unsorted_A52
Seq74;ee=0.02;size=1931;	Unsorted_J12
Seq79;ee=0.0059;size=1805;	Unsorted_A8
Seq76;ee=0.0059;size=1903;	GFP34_A
Seq80;ee=0.0059;size=1798;	PD1-Avidin2_A
Seq81;ee=0.0059;size=1740;	CTLA-Avidin38_A
Seq84;ee=0.0059;size=1680;	GFP17_A
Seq82;ee=0.013;size=1738;	Unsorted_L52
Seq85;ee=0.0059;size=1675;	Unsorted_A29
Seq90;ee=0.0059;size=1583;	PE38_A
Seq89;ee=0.017;size=1594;	Unsorted_J64
Seq86;ee=0.018;size=1618;	Unsorted_J8
Seq94;ee=0.0059;size=1497;	Unsorted_A34
Seq92;ee=0.0059;size=1522;	PD1-Avidin20_A
Seq97;ee=0.015;size=1460;	Unsorted_E36
Seq93;ee=0.0059;size=1510;	GFP16_A
Seq99;ee=0.016;size=1442;	Unsorted_B31
Seq100;ee=0.0059;size=1441;	GFP45_A
Seq98;ee=0.0059;size=1442;	GFP8_A
Seq104;ee=0.0059;size=1407;	GFP18_A
Seq106;ee=0.0061;size=1343;	Unsorted_A43
Seq110;ee=0.013;size=1308;	Unsorted_L42
Seq111;ee=0.0062;size=1283;	Unsorted_N54
Seq112;ee=0.014;size=1278;	Unsorted_E18
Seq113;ee=0.0059;size=1274;	GFP25_A
Seq105;ee=0.0096;size=1403;	Luciferase9_A
Seq118;ee=0.013;size=1224;	Unsorted_L75
Seq117;ee=0.0059;size=1231;	Luciferase17_A
Seq115;ee=0.013;size=1263;	Unsorted_L74
Seq120;ee=0.0059;size=1187;	Unsorted_A27
Seq127;ee=0.015;size=1105;	PE26_O
