Seq1;ee=0.0059;size=217805;	Unsorted_A75
Seq2;ee=0.4;size=217539;	GFP11_A
Seq4;ee=0.0059;size=192871;	CTLA-Avidin19_A
Seq7;ee=0.0059;size=127745;	PE30_A
Seq8;ee=0.0059;size=117335;	PE50_A
Seq12;ee=0.013;size=78604;	Unsorted_L46
Seq13;ee=0.0059;size=75863;	GFP14_A
Seq17;ee=0.0059;size=71123;	GFP3_A
Seq16;ee=0.0059;size=71124;	GFP48_A
Seq5;ee=0.0063;size=177210;	GFP31_A
Seq19;ee=0.0059;size=65236;	GFP6_A
Seq20;ee=0.013;size=61430;	Unsorted_L27
Seq22;ee=0.0059;size=60274;	Unsorted_A47
Seq23;ee=0.0059;size=59278;	Unsorted_A73
Seq21;ee=0.013;size=60302;	Unsorted_L39
Seq24;ee=0.0059;size=58105;	GFP20_A
Seq9;ee=0.0059;size=114063;	GFP22_A
Seq27;ee=0.0059;size=52254;	PD1-Avidin21_A
Seq26;ee=0.0063;size=56583;	GFP34_A
Seq25;ee=0.013;size=57120;	Unsorted_L36
Seq30;ee=0.0059;size=48679;	Unsorted_A72
Seq31;ee=0.0059;size=48556;	GFP39_A
Seq29;ee=0.0059;size=50005;	Unsorted_A39
Seq28;ee=0.013;size=51390;	Unsorted_L71
Seq32;ee=0.0059;size=48007;	GFP8_A
Seq33;ee=0.0062;size=45079;	Unsorted_N1
Seq34;ee=0.0059;size=44697;	GFP5_A
Seq36;ee=0.0059;size=42000;	Unsorted_A59
Seq35;ee=0.0059;size=44111;	Unsorted_A12
Seq37;ee=0.0059;size=38303;	Unsorted_A53
Seq38;ee=0.013;size=36922;	Unsorted_L63
Seq39;ee=0.0059;size=36432;	GFP17_A
Seq41;ee=0.0059;size=35714;	Unsorted_A32
Seq40;ee=0.0059;size=35897;	Unsorted_A13
Seq14;ee=0.0059;size=75503;	CTLA-Avidin1_A
Seq15;ee=0.011;size=71343;	GFP43_A
Seq6;ee=0.013;size=131038;	Unsorted_L37
Seq47;ee=0.0059;size=28694;	GFP32_A
Seq44;ee=0.013;size=30008;	Unsorted_L9
Seq45;ee=0.0059;size=29753;	Luciferase17_A
Seq11;ee=0.0059;size=82690;	GFP25_A
Seq10;ee=0.0059;size=100541;	Unsorted_A37
Seq52;ee=0.0059;size=25160;	Unsorted_A51
Seq42;ee=0.0059;size=33983;	Unsorted_A23
Seq50;ee=0.0059;size=26326;	Native_A1
Seq49;ee=0.0059;size=26719;	CTLA-Avidin7_A
Seq48;ee=0.0059;size=28041;	Unsorted_A6
Seq43;ee=0.0059;size=31248;	GFP2_A
Seq18;ee=0.042;size=67530;	Native_L1
Seq51;ee=0.0059;size=25903;	GFP45_A
Seq54;ee=0.0059;size=24864;	GFP47_A
Seq53;ee=0.0059;size=24981;	Luciferase9_A
Seq55;ee=0.015;size=24755;	Unsorted_L58
Seq57;ee=0.0059;size=24561;	GFP9_A
Seq56;ee=0.17;size=24632;	Unsorted_L34
Seq58;ee=0.017;size=23545;	Unsorted_J49
Seq60;ee=0.0059;size=23091;	Unsorted_A14
Seq59;ee=0.013;size=23174;	Unsorted_L17
Seq62;ee=0.0059;size=22860;	PD1-Avidin20_A
Seq61;ee=0.012;size=22967;	Unsorted_A57
Seq63;ee=0.0059;size=22733;	Unsorted_A70
Seq66;ee=0.0059;size=21804;	Unsorted_A9
Seq67;ee=0.089;size=20816;	Unsorted_L12
Seq64;ee=0.014;size=22147;	Unsorted_L20
Seq65;ee=0.0059;size=21848;	Unsorted_A52
Seq68;ee=0.0059;size=20665;	PD1-Avidin18_A
Seq71;ee=0.0059;size=19042;	PD1-Avidin44_A
Seq70;ee=0.0059;size=19206;	CTLA-Avidin38_A
Seq72;ee=0.0059;size=18895;	Unsorted_A62
Seq69;ee=0.012;size=19996;	Unsorted_P5
Seq73;ee=0.0062;size=18884;	VEGF15_N
Seq74;ee=0.0059;size=18647;	GFP23_A
Seq75;ee=0.0059;size=18574;	Unsorted_A4
Seq79;ee=0.0059;size=17430;	GFP42_A
Seq77;ee=0.013;size=17989;	Unsorted_L10
Seq83;ee=0.0059;size=16598;	PD1-Avidin43_A
Seq81;ee=0.015;size=16952;	Unsorted_E48
Seq82;ee=0.0059;size=16687;	PE3_A
Seq76;ee=0.0059;size=18530;	Unsorted_A68
Seq80;ee=0.0062;size=17219;	Unsorted_N29
Seq84;ee=0.012;size=16494;	Native_H1
Seq86;ee=0.0059;size=15991;	PE38_A
Seq87;ee=0.0059;size=15699;	Unsorted_A61
Seq85;ee=0.16;size=16228;	Unsorted_J67
Seq88;ee=0.0059;size=15308;	Unsorted_A71
Seq90;ee=0.0059;size=14318;	Unsorted_A65
Seq89;ee=0.0059;size=14764;	Unsorted_A38
Seq91;ee=0.013;size=14016;	Unsorted_L28
Seq93;ee=0.017;size=13743;	Unsorted_E11
Seq97;ee=0.0059;size=12424;	GFP37_A
Seq100;ee=0.0059;size=11950;	Unsorted_A8
Seq95;ee=0.0059;size=12807;	Unsorted_A44
Seq101;ee=0.013;size=11832;	Unsorted_L16
Seq96;ee=0.013;size=12541;	Unsorted_L22
Seq98;ee=0.0059;size=12303;	CTLA-Tris-Carb50_A
Seq99;ee=0.0062;size=12065;	Native_N1
Seq102;ee=0.091;size=11830;	Unsorted_L1
Seq103;ee=0.0059;size=11608;	Unsorted_A69
Seq106;ee=0.32;size=11014;	PD1-Avidin29_A
Seq104;ee=0.0062;size=11443;	VEGF39_N
Seq107;ee=0.017;size=10911;	Unsorted_F31
Seq108;ee=0.013;size=10815;	Unsorted_L15
Seq111;ee=0.0059;size=10432;	PD1-Avidin2_A
Seq113;ee=0.0062;size=10200;	Luciferase43_N
Seq110;ee=0.0059;size=10505;	Unsorted_A43
Seq109;ee=0.017;size=10712;	Unsorted_J23
Seq115;ee=0.015;size=10067;	Native_E1
Seq114;ee=0.0059;size=10144;	PD1-Avidin40_A
Seq112;ee=0.013;size=10309;	Unsorted_L24
Seq116;ee=0.0059;size=9802;	Unsorted_A21
Seq119;ee=0.0059;size=9716;	CTLA-Avidin12_A
Seq118;ee=0.0059;size=9770;	Unsorted_A63
Seq123;ee=0.0059;size=9454;	CTLA-Avidin50_A
Seq121;ee=0.0059;size=9600;	Unsorted_A29
Seq122;ee=0.014;size=9588;	Unsorted_L14
Seq120;ee=0.013;size=9692;	Unsorted_L56
Seq128;ee=0.0098;size=9134;	Unsorted_A26
Seq126;ee=0.016;size=9200;	Native_B1
Seq125;ee=0.0059;size=9239;	Unsorted_A2
Seq129;ee=0.014;size=9037;	Unsorted_L5
Seq131;ee=0.0059;size=8885;	GFP4_A
Seq133;ee=0.022;size=8722;	Unsorted_J63
Seq136;ee=0.0059;size=8626;	Unsorted_A1
Seq134;ee=0.0059;size=8711;	GFP28_A
Seq132;ee=0.016;size=8792;	Unsorted_E57
Seq137;ee=0.0059;size=8469;	CTLA-Avidin47_A
Seq135;ee=0.013;size=8697;	Unsorted_L13
Seq140;ee=0.0062;size=7946;	PE9_N
Seq139;ee=0.0059;size=8304;	GFP40_A
Seq138;ee=0.0059;size=8408;	GFP33_A
Seq141;ee=0.057;size=7892;	Unsorted_J64
Seq144;ee=0.0059;size=7707;	Unsorted_A64
Seq143;ee=0.011;size=7776;	Native_P1
Seq147;ee=0.0059;size=7207;	Unsorted_A19
Seq145;ee=0.0059;size=7690;	Unsorted_A33
Seq142;ee=0.0059;size=7793;	Unsorted_A67
Seq148;ee=0.018;size=7203;	Unsorted_J8
Seq152;ee=0.0059;size=6718;	Unsorted_A22
Seq153;ee=0.0062;size=6687;	Unsorted_N54
Seq154;ee=0.019;size=6621;	Unsorted_J12
Seq151;ee=0.0059;size=6972;	Unsorted_A54
Seq156;ee=0.0062;size=6555;	Luciferase5_N
Seq155;ee=0.027;size=6609;	Unsorted_L18
Seq157;ee=0.015;size=6534;	Unsorted_E49
