Seq2;ee=0.013;size=31853;	Unsorted_L37
Seq12;ee=0.0059;size=9375;	GFP43_A
Seq13;ee=0.0059;size=7374;	GFP20_A
Seq14;ee=0.0059;size=7121;	Unsorted_A64
Seq15;ee=0.013;size=6883;	Unsorted_L63
Seq3;ee=0.0059;size=27619;	Unsorted_A6
Seq4;ee=0.013;size=24243;	Unsorted_L13
Seq7;ee=0.013;size=19888;	Unsorted_L17
Seq17;ee=0.0059;size=5809;	Unsorted_A45
Seq18;ee=0.0059;size=5687;	Unsorted_A32
Seq8;ee=0.0063;size=17090;	Unsorted_A36
Seq9;ee=0.0059;size=13620;	PE30_A
Seq22;ee=0.0059;size=4627;	CTLA-Avidin1_A
Seq10;ee=0.0059;size=10709;	PE50_A
Seq6;ee=0.053;size=20672;	Unsorted_L38
Seq25;ee=0.0062;size=4039;	Unsorted_N1
Seq19;ee=0.013;size=5487;	Unsorted_L61
Seq20;ee=0.013;size=4872;	Unsorted_L49
Seq5;ee=0.039;size=22541;	Unsorted_L51
Seq11;ee=0.015;size=10033;	Unsorted_L11
Seq16;ee=0.0059;size=6062;	CTLA-Avidin19_A
Seq27;ee=0.013;size=3849;	Unsorted_L20
Seq23;ee=0.0059;size=4559;	Unsorted_A35
Seq28;ee=0.0096;size=3841;	GFP31_A
Seq29;ee=0.0059;size=3835;	GFP3_A
Seq26;ee=0.0059;size=3925;	GFP42_A
Seq31;ee=0.012;size=3456;	Unsorted_P5
Seq32;ee=0.0059;size=3313;	GFP22_A
Seq35;ee=0.0059;size=2812;	GFP48_A
Seq37;ee=0.0059;size=2697;	PD1-Avidin21_A
Seq34;ee=0.014;size=2900;	Unsorted_L12
Seq36;ee=0.0096;size=2743;	GFP14_A
Seq39;ee=0.01;size=2661;	PE36_A
Seq38;ee=0.017;size=2666;	Unsorted_J49
Seq46;ee=0.015;size=2061;	Unsorted_E31
Seq40;ee=0.0059;size=2569;	GFP11_A
Seq48;ee=0.0059;size=2015;	GFP26_A
Seq51;ee=0.0059;size=1894;	Unsorted_A12
Seq47;ee=0.0059;size=2021;	PD1-Avidin18_A
Seq53;ee=0.015;size=1860;	Unsorted_E34
Seq56;ee=0.0059;size=1809;	PE3_A
Seq59;ee=0.085;size=1705;	Unsorted_L24
Seq52;ee=0.013;size=1879;	Unsorted_L60
Seq55;ee=0.0059;size=1811;	Unsorted_A9
Seq58;ee=0.013;size=1749;	Unsorted_L26
Seq61;ee=0.0062;size=1649;	Unsorted_N29
Seq66;ee=0.0059;size=1540;	Unsorted_A47
Seq64;ee=0.16;size=1547;	Unsorted_E11
Seq65;ee=0.0059;size=1544;	GFP34_A
Seq71;ee=0.0059;size=1392;	GFP17_A
Seq78;ee=0.019;size=1278;	Unsorted_J8
Seq81;ee=0.017;size=1240;	Unsorted_J12
Seq79;ee=0.0059;size=1252;	GFP8_A
Seq74;ee=0.012;size=1382;	Unsorted_P65
Seq80;ee=0.013;size=1247;	Unsorted_L34
Seq82;ee=0.0059;size=1240;	Unsorted_A38
Seq83;ee=0.0059;size=1217;	CTLA-Avidin38_A
Seq87;ee=0.0059;size=1151;	PD1-Avidin40_A
Seq88;ee=0.0059;size=1116;	PD1-Avidin2_A
Seq85;ee=0.0059;size=1185;	GFP45_A
Seq86;ee=0.047;size=1161;	Unsorted_L52
Seq91;ee=0.014;size=1113;	Unsorted_L28
Seq97;ee=0.11;size=1058;	Unsorted_L67
Seq92;ee=0.014;size=1109;	Unsorted_L2
Seq95;ee=0.0059;size=1095;	Unsorted_A68
