Seq1;ee=0.0059;size=396872;	Unsorted_A75
Seq3;ee=0.0059;size=265100;	GFP31_A
Seq4;ee=0.0059;size=254182;	GFP22_A
Seq10;ee=0.0059;size=118550;	Unsorted_A73
Seq11;ee=0.0059;size=117752;	GFP34_A
Seq6;ee=0.0059;size=189770;	GFP25_A
Seq2;ee=0.0059;size=382514;	GFP11_A
Seq13;ee=0.0059;size=102955;	GFP48_A
Seq16;ee=0.013;size=89962;	Unsorted_L39
Seq15;ee=0.0059;size=98788;	Unsorted_A37
Seq18;ee=0.0059;size=88134;	Unsorted_A13
Seq17;ee=0.022;size=88850;	Native_L1
Seq19;ee=0.0059;size=87973;	GFP17_A
Seq20;ee=0.013;size=87254;	Unsorted_L46
Seq21;ee=0.0059;size=83406;	GFP5_A
Seq23;ee=0.0059;size=79122;	Unsorted_A72
Seq25;ee=0.0059;size=72543;	Unsorted_A53
Seq24;ee=0.014;size=74425;	Unsorted_L36
Seq7;ee=0.0059;size=160901;	GFP14_A
Seq26;ee=0.0059;size=69320;	CTLA-Avidin35_A
Seq27;ee=0.0059;size=56085;	Luciferase17_A
Seq28;ee=0.0059;size=55613;	PD1-Avidin21_A
Seq29;ee=0.0059;size=54865;	GFP32_A
Seq22;ee=0.0059;size=81168;	Unsorted_A39
Seq30;ee=0.0059;size=53644;	GFP9_A
Seq31;ee=0.0059;size=52687;	GFP2_A
Seq32;ee=0.0059;size=51305;	Unsorted_A57
Seq34;ee=0.016;size=48704;	Unsorted_L71
Seq37;ee=0.0059;size=39313;	GFP23_A
Seq8;ee=0.0059;size=130816;	GFP6_A
Seq35;ee=0.0059;size=48284;	Unsorted_A14
Seq39;ee=0.0059;size=32406;	Unsorted_A70
Seq38;ee=0.014;size=32926;	Unsorted_L9
Seq36;ee=0.0059;size=46529;	Luciferase9_A
Seq12;ee=0.0059;size=109953;	GFP39_A
Seq45;ee=0.0059;size=26792;	Unsorted_A65
Seq40;ee=0.0059;size=31893;	Unsorted_A4
Seq14;ee=0.0059;size=99555;	Unsorted_A59
Seq44;ee=0.013;size=28881;	Unsorted_L58
Seq48;ee=0.0059;size=20963;	Unsorted_A21
Seq33;ee=0.0059;size=48757;	Native_A1
Seq41;ee=0.012;size=30986;	Native_H1
Seq42;ee=0.0059;size=30720;	PD1-Avidin43_A
Seq49;ee=0.013;size=20443;	Unsorted_L10
Seq9;ee=0.0059;size=123930;	GFP8_A
Seq53;ee=0.0062;size=19627;	Native_N1
Seq54;ee=0.0059;size=19290;	Unsorted_A63
