Seq555;ee=0.013;size=362;	Unsorted_L12
Seq567;ee=0.0059;size=356;	GFP28_A
Seq578;ee=0.031;size=347;	CTLA-Tris-Carb7_K
Seq598;ee=0.049;size=338;	Unsorted_C26
Seq609;ee=0.0059;size=328;	GFP2_A
Seq625;ee=0.018;size=320;	Unsorted_K64
Seq641;ee=0.013;size=310;	Unsorted_L9
Seq642;ee=0.0059;size=309;	Unsorted_A56
Seq636;ee=0.017;size=314;	Unsorted_I64
Seq638;ee=0.0059;size=312;	Unsorted_A23
Seq661;ee=0.0059;size=300;	Unsorted_A36
Seq665;ee=0.0059;size=299;	Unsorted_A1
Seq680;ee=0.0059;size=294;	PD1-Avidin21_A
Seq687;ee=0.017;size=290;	Unsorted_F31
Seq689;ee=0.0059;size=290;	Unsorted_A62
Seq692;ee=0.014;size=286;	Unsorted_D48
Seq684;ee=0.017;size=291;	Unsorted_F5
Seq697;ee=0.015;size=285;	Unsorted_E65
Seq696;ee=0.0059;size=285;	Luciferase9_A
Seq699;ee=0.0059;size=284;	Unsorted_A32
Seq704;ee=0.0062;size=282;	Unsorted_N6
Seq729;ee=0.016;size=274;	Unsorted_B31
Seq742;ee=0.017;size=269;	Unsorted_F53
Seq746;ee=0.009;size=267;	Unsorted_M64
Seq767;ee=0.017;size=261;	Unsorted_F22
Seq766;ee=0.078;size=262;	Unsorted_F62
Seq769;ee=0.29;size=261;	Unsorted_I57
Seq783;ee=0.017;size=255;	Unsorted_L58
Seq790;ee=0.0059;size=253;	PD1-Avidin18_A
Seq804;ee=0.0062;size=250;	Unsorted_N21
Seq808;ee=0.013;size=249;	Unsorted_L63
Seq815;ee=0.017;size=246;	Unsorted_I56
Seq827;ee=0.0062;size=244;	Unsorted_N16
Seq864;ee=0.013;size=234;	Unsorted_L2
Seq888;ee=0.013;size=228;	Unsorted_L13
Seq890;ee=0.0059;size=227;	PD1-Avidin20_A
Seq903;ee=0.017;size=224;	Unsorted_F58
Seq924;ee=0.0059;size=220;	Unsorted_A70
Seq947;ee=0.017;size=215;	Unsorted_F50
Seq982;ee=0.013;size=208;	Unsorted_L22
Seq980;ee=0.0062;size=208;	VEGF39_N
Seq990;ee=0.015;size=206;	Unsorted_L56
Seq1000;ee=0.0059;size=204;	Unsorted_A30
Seq997;ee=0.017;size=205;	Unsorted_F45
Seq1016;ee=0.0059;size=201;	PD1-Avidin44_A
Seq1024;ee=0.0059;size=199;	Unsorted_A64
Seq1025;ee=0.0059;size=199;	Unsorted_A52
Seq1038;ee=0.018;size=197;	Unsorted_I41
Seq1046;ee=0.017;size=195;	Unsorted_I46
Seq1045;ee=0.0059;size=196;	Unsorted_A16
Seq1060;ee=0.015;size=193;	Unsorted_E48
Seq1073;ee=0.017;size=191;	Unsorted_I15
Seq1086;ee=0.0062;size=188;	Unsorted_N29
Seq1101;ee=0.0075;size=187;	CTLA-Avidin12_A
Seq1103;ee=0.014;size=185;	Unsorted_L51
Seq1109;ee=0.0059;size=185;	GFP45_A
Seq1126;ee=0.0059;size=182;	Unsorted_A2
Seq1135;ee=0.0059;size=180;	Unsorted_A31
Seq1136;ee=0.0059;size=180;	PD1-Avidin43_A
Seq1156;ee=0.017;size=178;	Unsorted_I33
Seq1165;ee=0.013;size=176;	Unsorted_P5
Seq1166;ee=0.0059;size=176;	Unsorted_A51
Seq1191;ee=0.0059;size=171;	Unsorted_A61
Seq1200;ee=0.0059;size=170;	GFP42_A
Seq1218;ee=0.055;size=168;	Unsorted_C32
Seq1226;ee=0.015;size=167;	Unsorted_Q25
Seq1230;ee=0.0059;size=166;	Unsorted_A50
Seq1232;ee=0.017;size=166;	Unsorted_I60
Seq1227;ee=0.0059;size=167;	PD1-Avidin40_A
Seq1244;ee=0.0059;size=164;	GFP33_A
Seq1260;ee=0.018;size=163;	Unsorted_K65
Seq1275;ee=0.014;size=161;	Unsorted_L28
Seq1329;ee=0.013;size=155;	Unsorted_L20
Seq1332;ee=0.0062;size=155;	Luciferase43_N
