Seq610;ee=0.0059;size=7;	Luciferase22_A
Seq623;ee=0.017;size=7;	Unsorted_B40
Seq646;ee=0.0062;size=7;	Unsorted_N17
Seq663;ee=0.035;size=7;	CTLA-Avidin7_A
Seq671;ee=0.014;size=7;	Unsorted_L16
Seq670;ee=0.017;size=7;	Unsorted_L3
Seq681;ee=0.0059;size=7;	Unsorted_A52
Seq683;ee=0.0059;size=7;	CTLA-Avidin38_A
Seq687;ee=0.0059;size=7;	PD1-Avidin39_A
Seq690;ee=0.011;size=7;	Unsorted_H59
Seq693;ee=0.014;size=7;	PE48_O
Seq697;ee=0.014;size=6;	Unsorted_D69
Seq700;ee=0.014;size=6;	Unsorted_L18
Seq704;ee=0.016;size=6;	Unsorted_L15
Seq708;ee=0.011;size=6;	Unsorted_H60
Seq720;ee=0.013;size=6;	Unsorted_L60
Seq727;ee=0.014;size=6;	Unsorted_H44
Seq737;ee=0.014;size=6;	Unsorted_L52
Seq743;ee=0.0059;size=6;	Unsorted_A38
Seq742;ee=0.017;size=6;	Unsorted_F10
Seq749;ee=0.0059;size=6;	PD1-Avidin4_A
Seq771;ee=0.0062;size=6;	Unsorted_N8
Seq776;ee=0.0059;size=6;	CTLA-Avidin35_A
Seq793;ee=0.0059;size=6;	Unsorted_A8
Seq792;ee=0.013;size=6;	Unsorted_L64
Seq797;ee=0.0061;size=6;	Unsorted_A2
Seq806;ee=0.0059;size=6;	Unsorted_A9
Seq814;ee=0.016;size=6;	Unsorted_B45
Seq811;ee=0.014;size=6;	PE45_O
Seq818;ee=0.015;size=6;	Unsorted_E48
Seq846;ee=0.0059;size=5;	GFP42_A
Seq847;ee=0.0062;size=5;	Unsorted_N31
Seq853;ee=0.011;size=5;	PD1-Avidin2_A
Seq866;ee=0.19;size=5;	Unsorted_O65
Seq876;ee=0.014;size=5;	Unsorted_D58
Seq880;ee=0.017;size=5;	Unsorted_J23
Seq889;ee=0.0059;size=5;	Unsorted_A73
Seq891;ee=0.0059;size=5;	Unsorted_A43
Seq893;ee=0.014;size=5;	PE26_O
Seq902;ee=0.011;size=5;	Unsorted_A53
Seq925;ee=0.0059;size=5;	PD1-Avidin12_A
Seq966;ee=0.014;size=5;	PE35_O
Seq964;ee=0.011;size=5;	Unsorted_H62
Seq968;ee=0.0062;size=5;	Unsorted_N27
Seq992;ee=0.017;size=5;	Unsorted_L4
Seq1017;ee=0.41;size=4;	Unsorted_F20
Seq1019;ee=0.0062;size=4;	Unsorted_N42
Seq1058;ee=0.014;size=4;	PE11_O
Seq1060;ee=0.021;size=4;	Unsorted_G19
Seq1061;ee=0.0059;size=4;	Unsorted_A23
Seq1086;ee=0.0062;size=4;	Unsorted_N16
Seq1096;ee=0.0059;size=4;	PD1-Avidin29_A
Seq1108;ee=0.018;size=4;	Unsorted_J65
Seq1117;ee=0.0059;size=4;	Unsorted_A26
Seq1118;ee=0.0062;size=4;	Unsorted_N59
Seq1136;ee=0.015;size=4;	Unsorted_Q61
Seq1175;ee=0.0059;size=4;	Unsorted_A21
Seq1198;ee=0.0059;size=4;	Unsorted_A58
Seq1202;ee=0.013;size=4;	Unsorted_L65
Seq1215;ee=0.0062;size=4;	VEGF42_N
Seq1220;ee=0.0062;size=4;	Unsorted_N58
Seq1228;ee=0.0062;size=4;	Luciferase5_N
Seq1244;ee=0.0086;size=4;	Unsorted_M41
Seq1255;ee=0.4;size=4;	Unsorted_A69
Seq1273;ee=0.015;size=3;	Unsorted_Q42
Seq1279;ee=0.014;size=3;	CTLA-Tris-Carb13_O
Seq1291;ee=0.0059;size=3;	GFP44_A
Seq1297;ee=0.015;size=3;	Unsorted_E11
Seq1309;ee=0.0059;size=3;	PD1-Avidin1_A
Seq1314;ee=0.017;size=3;	Unsorted_I40
Seq1336;ee=0.017;size=3;	Unsorted_I51
Seq1332;ee=0.013;size=3;	Unsorted_L14
Seq1340;ee=0.0062;size=3;	Unsorted_N54
Seq1355;ee=0.011;size=3;	Unsorted_H22
Seq1369;ee=0.013;size=3;	Unsorted_L74
Seq1379;ee=0.019;size=3;	Unsorted_I72
Seq1385;ee=0.015;size=3;	Unsorted_E15
Seq1389;ee=0.014;size=3;	CTLA-Tris-Carb15_O
Seq1391;ee=0.023;size=3;	Unsorted_L29
Seq1394;ee=0.011;size=3;	Unsorted_H63
Seq1402;ee=0.016;size=3;	Unsorted_L31
Seq1404;ee=0.0062;size=3;	VEGF17_N
Seq1407;ee=0.014;size=3;	Unsorted_D50
Seq1411;ee=0.018;size=3;	Unsorted_F31
Seq1430;ee=0.0059;size=3;	GFP18_A
Seq1446;ee=0.0059;size=3;	PD1-Avidin49_A
Seq1455;ee=0.0059;size=3;	Unsorted_A4
Seq1476;ee=0.012;size=3;	Unsorted_P65
Seq1482;ee=0.02;size=3;	Unsorted_G30
Seq1488;ee=0.25;size=3;	Unsorted_D60
Seq1487;ee=0.0062;size=3;	Unsorted_N34
Seq1500;ee=0.017;size=3;	Unsorted_J32
Seq1506;ee=0.02;size=3;	Unsorted_G15
Seq1533;ee=0.013;size=3;	Unsorted_L34
Seq1545;ee=0.43;size=3;	Unsorted_L43
Seq1548;ee=0.018;size=3;	Unsorted_F35
Seq1551;ee=0.017;size=3;	Native_Q1
Seq1550;ee=0.0059;size=3;	Unsorted_A62
Seq1568;ee=0.014;size=3;	Unsorted_D31
Seq1576;ee=0.0059;size=3;	CTLA-Avidin47_A
Seq1580;ee=0.0059;size=3;	Unsorted_A59
Seq1583;ee=0.013;size=3;	Unsorted_L32
Seq1586;ee=0.014;size=3;	Unsorted_D5
Seq1623;ee=0.014;size=3;	Unsorted_O19
Seq1627;ee=0.0059;size=3;	Unsorted_A51
Seq1629;ee=0.0095;size=3;	GFP9_A
Seq1646;ee=0.014;size=3;	PE44_O
Seq1653;ee=0.16;size=3;	Unsorted_B68
Seq1651;ee=0.0062;size=3;	VEGF34_N
Seq1685;ee=0.0059;size=3;	GFP40_A
Seq1699;ee=0.017;size=3;	Unsorted_F2
Seq1704;ee=0.013;size=3;	Unsorted_L1
Seq1715;ee=0.0062;size=2;	PE4_N
Seq1717;ee=0.0059;size=2;	Unsorted_A13
Seq1733;ee=0.014;size=2;	Unsorted_D45
Seq1759;ee=0.017;size=2;	Unsorted_I18
Seq1761;ee=0.0062;size=2;	Unsorted_N19
Seq1811;ee=0.0062;size=2;	Luciferase21_N
Seq1813;ee=0.0059;size=2;	Unsorted_A70
Seq1817;ee=0.014;size=2;	Unsorted_E35
Seq1825;ee=0.15;size=2;	Unsorted_E64
Seq1852;ee=0.015;size=2;	Native_D1
Seq1853;ee=0.02;size=2;	Unsorted_G33
Seq1861;ee=0.014;size=2;	PE34_O
Seq1865;ee=0.0062;size=2;	PE23_N
Seq1868;ee=0.0059;size=2;	GFP24_A
Seq1884;ee=0.0062;size=2;	Unsorted_N38
Seq1922;ee=0.015;size=2;	Native_E1
Seq1928;ee=0.014;size=2;	Unsorted_D10
Seq1931;ee=0.0059;size=2;	Unsorted_A49
Seq1939;ee=0.014;size=2;	Unsorted_O34
Seq1953;ee=0.0062;size=2;	CTLA-Avidin33_N
Seq1957;ee=0.014;size=2;	Unsorted_D75
Seq1960;ee=0.0059;size=2;	CTLA-Avidin50_A
Seq1969;ee=0.0059;size=2;	Native_A1
Seq1972;ee=0.011;size=2;	Unsorted_H6
Seq1978;ee=0.013;size=2;	Unsorted_L57
Seq2039;ee=0.017;size=2;	Unsorted_J49
Seq2043;ee=0.017;size=2;	Unsorted_F53
Seq2061;ee=0.014;size=2;	Unsorted_E52
Seq2074;ee=0.02;size=2;	Unsorted_G62
Seq2153;ee=0.0062;size=2;	PD1-Avidin30_N
Seq2157;ee=0.0062;size=2;	Unsorted_N48
Seq2204;ee=0.013;size=2;	Unsorted_L54
Seq2245;ee=0.015;size=2;	PD1-Avidin13_E
Seq2248;ee=0.0062;size=2;	Unsorted_N18
Seq2257;ee=0.011;size=2;	Unsorted_H51
Seq2251;ee=0.0059;size=2;	Unsorted_A44
Seq2273;ee=0.0062;size=2;	Unsorted_N40
Seq2289;ee=0.0059;size=2;	Unsorted_A63
Seq2331;ee=0.017;size=2;	Unsorted_I32
Seq2340;ee=0.014;size=2;	Unsorted_L22
Seq2350;ee=0.0059;size=2;	Unsorted_A68
Seq2369;ee=0.014;size=2;	Unsorted_D17
Seq2378;ee=0.014;size=2;	Unsorted_D12
Seq2384;ee=0.012;size=2;	Native_H1
Seq2407;ee=0.016;size=2;	Unsorted_Q5
Seq2433;ee=0.0059;size=2;	Unsorted_A33
Seq2432;ee=0.0062;size=2;	Unsorted_N23
Seq2447;ee=0.19;size=2;	Unsorted_Q36
Seq2480;ee=0.015;size=2;	Unsorted_Q66
Seq2497;ee=0.014;size=1;	Unsorted_O25
Seq2523;ee=0.0062;size=1;	VEGF9_N
Seq2527;ee=0.0062;size=1;	VEGF13_N
Seq2562;ee=0.24;size=1;	Unsorted_J35
Seq2586;ee=0.0059;size=1;	PD1-Avidin41_A
Seq2621;ee=0.0084;size=1;	Unsorted_M13
Seq2620;ee=0.012;size=1;	Unsorted_P14
Seq23;ee=0.0099;size=190;	PE50_A
Seq2628;ee=0.0062;size=1;	VEGF44_N
Seq2640;ee=0.017;size=1;	Native_F1
Seq2711;ee=0.011;size=1;	Unsorted_P22
Seq2715;ee=0.017;size=1;	Unsorted_I61
Seq2776;ee=0.015;size=1;	Unsorted_E50
Seq2792;ee=0.0062;size=1;	VEGF37_N
Seq2791;ee=0.015;size=1;	Unsorted_E59
Seq2795;ee=0.022;size=1;	Unsorted_C37
Seq2843;ee=0.011;size=1;	Unsorted_H28
Seq2901;ee=0.017;size=1;	Unsorted_F73
Seq2929;ee=0.017;size=1;	Unsorted_B61
Seq2961;ee=0.017;size=1;	Unsorted_B11
Seq2964;ee=0.0062;size=1;	Native_N1
Seq2999;ee=0.092;size=1;	Unsorted_E66
Seq2993;ee=0.016;size=1;	VEGF8_E
Seq3017;ee=0.011;size=1;	Unsorted_H5
Seq3019;ee=0.013;size=1;	Unsorted_L41
Seq3030;ee=0.018;size=1;	Unsorted_K17
Seq3029;ee=0.0062;size=1;	CTLA-Avidin3_N
Seq3054;ee=0.012;size=1;	Unsorted_P35
Seq3127;ee=0.012;size=1;	Unsorted_A14
Seq3131;ee=0.013;size=1;	Unsorted_L55
Seq3150;ee=0.017;size=1;	Unsorted_E9
Seq3180;ee=0.018;size=1;	Unsorted_Q23
Seq3194;ee=0.0059;size=1;	GFP27_A
Seq3256;ee=0.12;size=1;	Unsorted_Q10
Seq3255;ee=0.0062;size=1;	Unsorted_N13
Seq3262;ee=0.0062;size=1;	VEGF1_N
Seq3289;ee=0.019;size=1;	Unsorted_D28
Seq3308;ee=0.011;size=1;	Unsorted_H64
Seq3327;ee=0.0059;size=1;	Unsorted_A25
Seq3342;ee=0.015;size=1;	Unsorted_Q73
Seq3439;ee=0.0059;size=1;	GFP38_A
Seq3479;ee=0.011;size=1;	Unsorted_P70
Seq3503;ee=0.0059;size=1;	PE10_A
Seq3515;ee=0.017;size=1;	Unsorted_F5
Seq3601;ee=0.017;size=1;	Unsorted_I50
Seq3660;ee=0.0062;size=1;	VEGF46_N
Seq3676;ee=0.014;size=1;	Unsorted_D25
Seq3722;ee=0.0059;size=1;	Unsorted_A54
Seq3732;ee=0.02;size=1;	Unsorted_G5
Seq3771;ee=0.02;size=1;	Unsorted_E56
Seq3852;ee=0.05;size=1;	Unsorted_F74
Seq3885;ee=0.012;size=1;	Unsorted_P5
Seq3914;ee=0.0096;size=1;	GFP33_A
Seq3919;ee=0.22;size=1;	Unsorted_Q22
