Seq3;ee=0.0059;size=51188;	Unsorted_A27
Seq11;ee=0.025;size=10709;	Unsorted_B31
Seq4;ee=0.013;size=33427;	Unsorted_L51
Seq13;ee=0.0059;size=8205;	Unsorted_A50
Seq5;ee=0.0059;size=22628;	Unsorted_A6
Seq7;ee=0.013;size=16526;	Unsorted_L17
Seq15;ee=0.013;size=7378;	Unsorted_L36
Seq16;ee=0.013;size=7165;	Unsorted_L12
Seq14;ee=0.013;size=7921;	Unsorted_L46
Seq8;ee=0.013;size=15305;	Unsorted_L13
Seq2;ee=0.013;size=74628;	Unsorted_L11
Seq21;ee=0.013;size=5088;	Unsorted_L71
Seq12;ee=0.0059;size=9848;	PE7_A
Seq18;ee=0.015;size=6745;	Unsorted_E34
Seq9;ee=0.013;size=14660;	Unsorted_L37
Seq24;ee=0.0062;size=4357;	Unsorted_N1
Seq22;ee=0.013;size=4670;	Unsorted_L27
Seq25;ee=0.014;size=3682;	Unsorted_L63
Seq17;ee=0.013;size=7069;	Unsorted_L61
Seq20;ee=0.013;size=5567;	Unsorted_L56
Seq6;ee=0.013;size=19603;	Unsorted_L2
Seq29;ee=0.013;size=3014;	Unsorted_L49
Seq19;ee=0.013;size=6725;	Unsorted_L42
Seq23;ee=0.0059;size=4514;	GFP15_A
Seq27;ee=0.013;size=3474;	Native_L1
Seq30;ee=0.0059;size=2673;	Unsorted_A35
Seq26;ee=0.014;size=3497;	Unsorted_L39
Seq28;ee=0.0059;size=3247;	Unsorted_A64
Seq33;ee=0.0062;size=2458;	Unsorted_N73
Seq34;ee=0.013;size=2327;	Unsorted_L26
Seq37;ee=0.013;size=2109;	Unsorted_L28
Seq36;ee=0.013;size=2154;	Unsorted_L20
Seq38;ee=0.013;size=2014;	Unsorted_L9
Seq39;ee=0.012;size=1996;	Unsorted_P65
Seq32;ee=0.014;size=2549;	Unsorted_L75
Seq35;ee=0.015;size=2249;	Unsorted_L50
Seq44;ee=0.011;size=1543;	Unsorted_H29
Seq43;ee=0.013;size=1547;	Unsorted_L19
Seq40;ee=0.0062;size=1853;	Unsorted_N29
Seq41;ee=0.0073;size=1716;	Luciferase43_N
Seq45;ee=0.014;size=1507;	Unsorted_L16
Seq51;ee=0.013;size=1253;	Unsorted_L58
Seq47;ee=0.013;size=1410;	Unsorted_L24
Seq57;ee=0.066;size=1081;	Unsorted_L34
Seq52;ee=0.0062;size=1177;	VEGF39_N
Seq56;ee=0.0059;size=1103;	GFP22_A
Seq50;ee=0.0059;size=1316;	CTLA-Avidin19_A
Seq49;ee=0.014;size=1323;	Unsorted_D12
Seq54;ee=0.97;size=1168;	Unsorted_F70
Seq55;ee=0.0059;size=1154;	GFP8_A
Seq58;ee=0.0062;size=1033;	Unsorted_N54
Seq59;ee=0.0059;size=997;	Unsorted_A9
Seq61;ee=0.0059;size=860;	PE30_A
Seq66;ee=0.0059;size=782;	Unsorted_A34
Seq60;ee=0.015;size=922;	Unsorted_L4
Seq63;ee=0.014;size=856;	Unsorted_D5
Seq68;ee=0.013;size=733;	Unsorted_L60
Seq62;ee=0.0059;size=859;	Unsorted_A12
Seq64;ee=0.0062;size=846;	Unsorted_N43
Seq65;ee=0.0059;size=790;	Unsorted_A45
Seq67;ee=0.15;size=735;	PE26_O
Seq70;ee=0.0059;size=724;	GFP26_A
Seq69;ee=0.016;size=730;	Unsorted_B60
Seq73;ee=0.0059;size=713;	Unsorted_A4
Seq71;ee=0.0059;size=719;	GFP3_A
Seq74;ee=0.014;size=710;	PE48_O
Seq77;ee=0.016;size=689;	Unsorted_E31
Seq76;ee=0.0062;size=693;	VEGF15_N
Seq82;ee=0.014;size=637;	Unsorted_O6
Seq83;ee=0.013;size=635;	Unsorted_L10
Seq84;ee=0.012;size=609;	Unsorted_P14
Seq86;ee=0.013;size=597;	Unsorted_L15
Seq78;ee=0.015;size=685;	Unsorted_E36
Seq79;ee=0.0062;size=685;	VEGF21_N
Seq85;ee=0.014;size=599;	Native_D1
Seq81;ee=0.014;size=662;	Unsorted_D17
Seq87;ee=0.015;size=593;	Unsorted_Q52
Seq90;ee=0.017;size=580;	Unsorted_F5
Seq89;ee=0.0059;size=590;	GFP11_A
Seq88;ee=0.017;size=590;	Unsorted_F17
Seq91;ee=0.017;size=580;	Unsorted_F20
Seq95;ee=0.013;size=543;	Unsorted_L48
Seq94;ee=0.013;size=551;	Unsorted_L38
Seq93;ee=0.0059;size=553;	GFP31_A
Seq97;ee=0.0059;size=531;	CTLA-Avidin1_A
